PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
130.1949,9.1674,5.0441,22.624,447.5144,14.2019,0.18735000000000002,22.02,27.17,9.065,0.9247900000000001,24.035,552.9348,19.8587,14.1382,19.7407,0.023
414.2005,26.5829,2.3155,146.7154,692.343,15.5815,1.0731,6.035,8.55,10.715,21.8798,116.9429,3106.7018,41.665,4.2157,56.3856,0.058
434.0241,23.5457,5.4475,259.8945,1205.1312,18.4332,1.1703000000000001,9.56,10.61,14.35,24.5113,123.7574,4256.8235,41.4025,11.5616,85.7564,0.139
1018.9912,43.9106,35.1276,226.9676,845.3894,23.206,2.9982,5.86,10.22,14.58,34.9315,147.9132,4354.7096,68.3194,63.3306,136.4974,0.447
94.5224,24.8616,200.2206,27.1416,719.8879,3.802,2.4045,46.83,49.555,38.83,0.5217900000000001,18.0526,524.8957,65.0368,721.6892,77.0178,0.218
153.1282,12.7697,1.7743,43.3812,600.8718,11.9916,1.6674,15.3,17.64,10.68,2.552,39.929,986.9111,25.2553,4.4048,47.7646,0.047
203.6193,36.8928,59.3629,124.5514,1206.5946,5.5192,6.72,28.83,35.04,30.065,3.8881,49.2747,1857.2004,85.4874,182.0247,180.2192,0.772
409.272,41.2355,89.6379,207.2716,883.3191,9.9252,4.8819,6.4077,8.268,10.686,29.1274,134.9083,3966.5139,65.6066,166.4915,143.414,0.211
708.2742,61.6071,17.3658,415.5916,1169.9243,11.4966,1.7288000000000001,5.895,7.235,10.855,63.3228,198.8729,6809.3461,95.9957,31.3707,199.1655,0.47500000000000003
134.9404,11.3767,2.0746,20.824,315.5077,11.8611,1.4572,8.865,12.185,6.1,2.1143,36.3463,652.4223,19.6307,4.2937,30.5517,0.04
976.0419,67.401,24.2975,652.0632,1643.896,14.4811,14.3539,5.69,7.48,15.13,103.3053,254.0048,9656.4831,104.0985,43.3776,338.7328,0.441
888.7405,35.6087,8.9624,979.831,2664.5007,24.9585,11.6912,12.845,15.575,23.55,68.6433,207.0895,10680.8061,67.4123,20.9896,78.3535,0.126
36.7081,5.723,1.4304000000000001,2.6037,184.6611,6.4141,0.07230299999999999,21.92,35.62,0.0,0.10690000000000001,8.1724,109.3818,12.3832,4.0031,23.7167,0.038
234.1868,14.3835,4.0391,18.4211,169.0016,16.2816,0.20372,3.295,3.705,3.69,5.0339,56.0884,762.4948,19.3789,6.0104,31.1951,0.038
292.1754,46.8886,96.7473,138.0831,903.0426,6.2313,2.0501,11.37,15.91,19.615,10.9264,82.6171,2532.1268,86.1009,217.55,140.7086,0.28500000000000003
190.2874,14.1689,1.2176,19.8531,311.2722,13.4299,0.9833900000000001,8.485,13.71,6.395,2.1059,36.2756,636.4259,24.1824,2.4834,31.862,0.037
83.9537,7.941,1.3074,2.8494,75.6505,10.5721,0.15978,4.805,5.41,0.25,0.5349200000000001,18.2804,171.3262,11.7571,2.2062,24.5046,0.031
85.1529,9.2158,8.8077,15.6042,343.5346,9.2399,0.16623000000000002,15.5,18.37,10.74,0.9065000000000001,23.8012,457.1552,18.2859,21.9604,30.6035,0.033
587.4095,24.655,1.4716,242.918,1047.8303,23.8252,2.428,5.01,9.43,10.72,43.6672,165.2225,4753.5995,36.8862,2.5181,51.105,0.07100000000000001
396.2905,51.0219,36.3397,103.8416,464.1975,7.7671,7.0557,4.515,6.34,5.065,20.7812,113.9641,2585.1201,74.3739,60.0621,203.1171,0.47900000000000004
44.1972,7.9751,3.4076,4.4705,235.4942,5.5419,0.28044,25.575,27.85,0.0,0.15734,9.9123,157.8216,17.9345,10.0398,26.9916,0.032
117.6247,12.6579,4.7182,19.4311,349.7255,9.2926,0.20024000000000003,10.41,15.855,5.63,1.6800000000000002,32.3987,594.9995,22.7366,10.3022,47.2821,0.065
109.992,1.8813,2.9148,3.6819,76.0613,58.4675,0.0046935,3.265,4.825,1.29,1.0161,25.21,228.7181,2.5288,4.3242,2.8384,0.025
587.3486,45.7065,86.9461,379.071,1166.6189,12.8504,5.4774,8.64,9.725,12.885,39.5118,157.13,5789.5591,78.3622,178.4108,174.6733,0.294
209.7984,10.7911,2.3487999999999998,53.8054,633.2351,19.4418,0.16982000000000003,12.26,15.99,10.57,3.952,49.6996,1226.8012,20.1924,5.416,36.9,0.053
504.4549,52.3934,15.1207,316.3043,1488.4212,9.6282,20.0185,8.54,13.62,17.74,33.3305,144.4441,5073.1631,89.5655,30.907,228.9176,0.366
188.2336,14.789,13.0142,42.2671,619.6671,12.7279,0.5098600000000001,18.525,23.655,12.62,2.0536,35.8168,922.5915,30.6817,34.4353,62.9695,0.068
655.2131,27.9764,4.9174,157.2491,706.3082,23.4202,1.538,5.195,7.115,8.215,27.2791,130.5505,3399.8571,42.2365,8.5166,91.7458,0.132
633.1215,33.6258,6.6217,198.518,976.4266,18.8284,3.8563,8.25,10.4,12.19,21.6873,116.4502,3609.4194,56.9884,13.3799,141.562,0.161
108.0667,11.7153,23.8892,6.2218,115.965,9.2244,0.07985099999999999,4.04,5.2,2.7199999999999998,1.3916,29.4719,321.5908,16.6092,38.0477,28.6892,0.038
335.1995,15.6581,7.0308,83.8159,723.5305,21.4074,0.23024000000000003,11.1,14.22,12.925,6.7995,65.1775,1753.107,28.5805,15.6837,61.8425,0.107
158.4368,15.1629,24.1784,30.7014,433.6738,10.449,0.14361000000000002,12.34,14.315,8.085,2.2409,37.4139,803.9082,28.4191,55.8726,68.8233,0.162
448.5311,22.0779,54.1314,63.509,325.199,20.3159,0.074138,3.04,3.765,4.8100000000000005,18.7881,108.324,1965.7286,29.1525,78.4165,22.9943,0.026000000000000002
365.0555,29.9898,5.1309000000000005,73.6928,446.3387,12.1726,0.179,2.385,5.635,4.315,27.8121,131.9146,2339.8254,37.2689,6.8553,104.0033,0.11800000000000001
699.828,52.9126,12.7349,288.8806,934.4503,13.2261,5.3215,4.08,6.015,8.705,63.7361,199.6309,5697.3361,75.2011,20.3493,159.696,0.199
866.417,41.7668,14.8443,284.5581,1204.7243,20.7442,5.9338,8.76,12.38,13.56,29.1683,135.1124,4648.307,71.855,30.6005,165.2546,0.369
827.3342,130.3818,31.9463,501.2136,1414.1039,6.3455,12.729,5.32,7.54,12.46,85.2842,231.1992,8108.4015,198.0135,55.7688,387.0831,0.739
433.2306,24.0622,3.5648,126.4505,553.7122,18.0046,0.7218300000000001,3.2800000000000002,3.9050000000000002,4.765,34.7885,147.4932,3244.1062,32.3821,5.2965,49.9159,0.069
136.1229,10.8142,1.5277,19.0731,325.3495,12.5874,0.58633,10.205,14.025,4.79,1.6821000000000002,32.4188,589.659,19.3285,3.3137,35.09,0.036000000000000004
43.0491,5.9272,2.038,4.2737,228.8636,7.263,0.13705,20.63,28.34,0.0,0.1867,10.8006,161.2199,12.632,5.5895,20.9718,0.033
168.2254,20.8878,78.3031,53.116,687.9638,8.0538,1.6622,17.31,20.4,12.2,2.7627,41.5498,1114.2979,42.6056,202.5557,102.4482,0.192
524.2739,73.0079,11.3779,224.763,789.0636,7.1811,10.2225,4.945,6.485,8.73,40.9505,159.9752,4499.4768,108.8707,19.3843,198.0166,0.273
42.5204,6.6651,2.207,4.7796,249.2182,6.3796,0.13531,28.165,32.045,0.0,0.15272000000000002,9.767,161.9939,15.3543,6.715,38.1077,0.057
289.9244,8.9584,0.46815,53.9071,487.552,32.3635,0.10744000000000001,6.525,9.125,6.625,7.4497,68.2339,1439.762,14.3177,0.8748100000000001,20.1442,0.029
424.0117,21.9599,2.699,123.9367,824.8063,19.3084,1.8877000000000002,9.96,13.63,12.58,11.2056,83.6929,2416.3635,39.0117,5.807,61.7839,0.07
241.5953,38.911,19.3798,82.5861,910.4166,6.2089,5.2687,17.475,24.88,16.065,4.2581,51.5655,1547.9169,79.5567,50.2909,133.7811,0.34
145.0162,12.4213,2.4387,9.4316,181.6639,11.6748,0.054404,7.01,11.17,0.915,1.2147000000000001,27.5506,382.8747,20.2115,4.6674,31.5318,0.051000000000000004
320.6725,44.3387,165.7083,192.269,1149.4475,7.2323,14.4797,14.76,15.57,16.175,11.7232,85.5242,3038.6199,86.907,406.4805,207.8336,0.308
327.325,14.4965,1.0384,41.0449,382.5762,22.5796,0.52495,6.8100000000000005,8.74,7.76,5.4358,58.3077,1161.8827,23.418,1.9682,30.0251,0.031
633.9869,40.1412,99.0478,347.424,888.418,15.7939,7.1159,3.68,5.715,8.185,84.9909,230.5433,6715.1028,55.5972,152.9188,142.4266,0.199
311.175,72.96,34.9047,86.7034,669.7322,4.265,3.0011,8.215,12.34,6.92,9.5104,76.902,1932.9025,123.5198,70.4292,177.5001,0.669
475.508,40.5714,16.2084,150.8243,1016.0297,11.7203,3.6527000000000003,12.225,16.015,16.655,11.1126,83.324,2659.3773,75.8634,37.3385,135.2839,0.203
282.9775,26.4115,10.418,116.278,945.2325,10.7142,9.1246,11.69,17.87,12.09,8.9519,74.7999,2211.8657,48.8367,23.6442,89.0574,0.121
518.6263,48.9252,48.8509,169.4188,966.4078,10.6004,2.3405,8.295,10.395,9.94,18.3856,107.1819,3195.8794,83.0304,98.8883,168.0752,0.663
208.1706,17.4023,2.4151,20.7773,299.6372,11.9622,0.6821900000000001,8.64,12.88,6.08,2.1833,36.9438,660.0388,29.8356,4.9557,45.3227,0.049
351.5317,27.5104,3.0615,200.4667,1184.1042,12.7781,2.5308,10.64,13.4,14.8,16.9617,103.0095,3410.254,49.6858,6.7335,95.3827,0.091
221.5245,15.0307,1.7008,26.9825,250.6829,14.7381,0.12159,4.425,6.555,2.685,5.5049,58.6632,945.161,21.8001,2.7923,31.9933,0.034
112.456,8.2593,40.5083,13.3725,312.8807,13.6157,0.49227000000000004,15.63,18.575,6.02,0.77073,21.9426,406.3612,16.4222,101.2816,22.4834,0.035
104.0368,10.473,43.4292,24.1099,467.9321,9.9338,0.25996,17.19,20.27,12.54,1.2627,28.089,617.2245,21.325,112.0832,44.3179,0.067
326.6491,24.2462,3.6713,136.9469,908.5598,13.4722,2.5219,9.22,12.09,10.87,13.3712,91.4312,2654.6476,42.2499,7.6984,74.184,0.08600000000000001
273.4911,16.7618,1.109,21.3602,156.8871,16.3164,0.8461000000000001,0.605,3.46,0.51,31.8797,140.7606,1298.97,14.7829,0.93798,32.2637,0.037
305.4747,4.0484,0.19688000000000003,14.358,148.7279,75.4563,0.016665,1.815,3.455,1.635,7.121,66.7794,735.1943,4.6989,0.24015000000000003,4.0422,0.025
410.6871,40.1663,7.997,125.4014,934.2139,10.2247,4.2198,13.865,20.285,13.725,8.1448,71.3321,2243.2982,77.5072,19.2118,119.8199,0.229
178.2489,19.1042,82.3166,43.6969,566.9968,9.3303,0.7030900000000001,15.13,20.335,12.3,2.6016,40.3128,995.5961,37.6781,203.5951,64.3119,0.064
627.2587,40.3821,84.6427,345.5482,1574.2646,15.5331,8.9928,19.95,22.455,28.065,15.5893,98.6801,4378.403,85.3444,229.564,104.436,0.154
