First_Shock,pga,pgv,pgd,AriasIntensity,CAV,pgaviapgv,ArayaSaragoniIntensity,StrongMotionDurationATB,StrongMotionDurationROG,StrongMotionDurationBolt,P90,arms,characteristicIntensity,intensityFajfarVidicFischinger,intensityRiddelGarcia,spectralDisplacement,spectralAcceleration,spectralVelocity,HousnerIntensity,KapposIntensity,spectralEnergy,DiPasqualeCakmak1stOrder
0.16047,318.4695,33.7369,8.0926,104.9342,542.3164,9.4398,14.0885,4.41,5.01,6.25,21.5354,116.0169,2624.2246,48.8894,13.2709,10.3923,256.8566,66.8836,139.224,30.5135,24.2486,0.36648000000000003
0.1623,67.5321,1.9886,0.1003,0.60319,29.3345,33.9602,0.0026171,1.655,2.39,0.015,0.32948,14.3658,70.0477,2.2555,0.11864,0.1354,3.4,1.9711,2.2487,0.3442,0.013923,0.21504
0.31157,144.3958,2.7246,0.07959,2.8359,44.8622,52.9978,0.011099,0.48,0.7,0.3,5.3645,58.182,307.4709,2.2678,0.062317,0.07768,2.325,2.8401,2.2163,0.19917,0.048114,0.41186000000000006
0.0,213.0496,7.711,0.49358,12.2898,101.3773,27.6293,0.066676,1.07,1.31,1.245,10.362,80.6114,748.6628,7.8425,0.50483,0.4931,13.4696,7.5025,11.0507,1.2582,0.24141,0.00062863
0.00015723,192.8464,8.3911,0.41774,13.2348,107.9053,22.9821,0.083851,1.13,1.56,0.84,10.5392,81.3039,779.3031,8.6515,0.43511,0.54997,14.9366,9.5545,12.5302,1.4291,0.30215,0.002979
0.21246,30.1208,3.2946,0.5446,1.5327,93.2759,9.1425,0.034387,9.865,14.625,0.0,0.13986,9.3481,89.7709,5.8389,1.168,1.335,33.0377,7.0147,12.7256,3.2977,0.39425,0.38133000000000006
0.089099,380.7727,11.8399,1.759,45.8912,376.8018,32.1601,0.073259,4.165,5.795,5.77,9.9138,78.7325,1425.734,16.9142,2.8301,3.2449,80.298,25.7445,35.4405,8.162,4.4856,0.089099
0.088773,550.4435,19.3531,2.3803,121.5789,603.3643,28.4422,0.14972,3.815,5.96,7.76,28.6792,133.9174,3026.9325,27.0473,3.7193,2.9057,72.3571,35.1654,46.7907,7.3561,3.7049,0.11404
0.00086417,207.9306,7.9697,0.41555,14.696,166.3798,26.09,0.15872,2.895,4.035,1.065,4.6087,53.6895,669.3586,10.3958,0.59225,0.42078,11.4766,8.6918,10.7609,1.0857,0.28937,0.00086417
0.0,402.7432,11.9895,0.59647,29.172,200.4262,33.5915,0.30962,1.745,2.57,1.78,15.1185,97.3088,1268.0192,13.78,0.71811,0.5766,16.376,13.2163,14.0895,1.4709,0.5677,0.005007
0.058414,91.341,12.0084,2.1323,11.7385,269.6387,7.6065,0.37975,10.245,14.43,6.52,1.0341,25.4099,409.979,21.4838,4.631,3.3632,83.0459,19.009,34.8178,8.8333,4.0774,0.067869
0.08266,108.4961,10.8188,2.3105,15.38,281.5715,10.0285,0.66661,8.14,10.17,4.735,1.7027,32.6137,531.3895,18.2741,4.6478,3.7186,91.4423,19.6163,53.5053,10.6258,5.0156,0.10279
0.10863,21.4328,2.2388,1.5241,1.2118,96.2727,9.5735,0.03867,13.82,17.405,0.0,0.078993,7.025,69.2187,4.3165,3.6576,1.5626,38.4669,8.9296,10.6993,3.5697,1.0568,0.17811000000000002
0.40758,288.6271,65.3772,65.4242,126.037,643.9466,4.4148,1.5644,6.525,7.045,7.81,17.3876,104.2414,2718.6321,104.4891,122.2546,16.3802,402.7482,69.0207,185.3099,40.9895,32.3819,0.50133
0.47984,59.2506,3.0147,0.38944,2.1846,77.2572,19.654,0.025582,3.94,5.87,0.345,0.49906,17.6653,147.3772,4.2473,0.61509,0.61658,15.168,3.5971,9.4134,1.6042,0.20269,0.53188
0.49315,58.8997,2.8003,0.29507,1.8191,69.8998,21.0331,0.018281,4.265,5.78,0.045,0.38371,15.4884,125.8843,4.0243,0.47852,0.50992,12.6513,4.365,8.238,1.3018,0.086061,0.49315
0.17895,97.5959,8.5512,1.3845,6.8862,177.182,11.4131,0.22607,8.875,10.385,0.625,0.6993,20.8993,284.6304,14.7595,2.8664,1.855,45.5968,12.1856,26.9478,5.0669,1.3948,0.26028
0.15055,141.9554,10.0188,2.7309,12.1114,212.2557,14.1689,0.29932,5.825,8.125,1.925,1.8713,34.1588,481.8399,15.5646,4.9136,3.6258,89.3297,22.479,38.3472,9.1962,2.2682,0.15055
0.075391,119.9661,7.3952,0.51229,8.0024,140.1459,16.2223,0.039897,3.11,4.8,0.865,2.3176,38.0745,414.3152,9.8206,0.74777,0.90236,22.9412,9.0667,15.1479,2.3469,0.49553,0.088054
0.16395,204.2301,14.288,1.2723,16.6659,175.9003,14.2938,0.10049,1.8,3.515,1.11,8.3406,72.204,823.1477,16.5497,1.5477,2.1867,54.9527,17.1704,31.7061,5.635,1.5642,0.20398000000000002
0.21928,80.5386,4.9971,0.33375,5.8718,171.8917,16.1169,0.025958,6.065,9.96,2.16,0.87158,23.3397,277.6894,7.842,0.60864,0.47061,11.9394,5.1271,10.361,1.2696,0.18854,0.29293
0.0,319.4734,15.6742,9.251,66.7616,601.414,20.3822,0.37698,6.865,10.285,8.285,8.7619,73.9723,1666.9538,25.3714,17.5821,6.311,156.2052,35.5618,63.2004,17.654,10.309,0.23256000000000002
0.0,209.1729,13.0272,3.5959,55.4597,574.495,16.0566,0.8699,6.75,11.0,6.88,7.3947,67.9769,1456.1085,20.9979,6.7959,4.5358,112.6798,21.2983,47.0459,11.7016,7.5616,0.1173
0.2487,638.3119,43.7643,6.6365,227.4973,862.8656,14.5852,1.5538,5.33,7.45,9.665,38.4728,154.9749,4454.0579,66.497,11.5927,13.6143,335.9659,88.537,141.5821,34.8583,39.3143,0.34649
0.071679,302.557,25.8899,3.325,99.0301,638.8269,11.6863,0.55984,7.83,9.4,10.73,11.4178,84.4695,2172.3553,43.3083,6.6025,4.0466,101.4997,34.0864,62.477,10.8218,6.748,0.12169
0.051745,527.0061,23.0763,2.7277,116.6256,609.8517,22.8376,0.87677,4.475,8.045,5.625,23.4561,121.0979,2819.0421,33.5632,4.4949,6.0987,150.0245,36.64,79.5557,15.9311,12.2613,0.13217
0.22828,288.2798,23.2058,11.6567,99.5509,781.1487,12.4227,0.74624,7.545,11.765,10.865,11.8814,86.1545,2196.578,38.4602,22.8628,8.407,206.833,50.4516,91.3333,21.9401,23.2754,0.46545000000000003
0.16778,305.7435,67.4168,185.2634,274.4842,1276.8141,4.5351,15.3224,11.055,15.175,16.255,22.3497,118.1649,4270.8307,122.93,412.7077,39.9678,983.1152,191.9985,252.1566,83.6216,518.3274,0.63548
0.18495,288.1184,48.1534,10.5568,142.9226,1058.2387,5.9833,7.7297,11.995,15.09,13.695,10.724,81.8546,2564.8661,89.6142,24.1658,19.6246,483.1481,99.0451,179.7938,55.2783,130.3817,0.37093000000000004
0.071136,230.3205,5.415,1.6668,6.6221,99.1702,42.5339,0.024429,3.8,4.71,1.305,1.5715,31.3486,342.1523,7.5604,2.601,0.24725,7.5195,5.2213,5.2253,0.62996,0.1194,0.071136
0.092414,573.8649,14.5735,4.0091,35.4206,137.2253,39.3774,0.14476,1.07,1.38,1.12,30.0209,137.2234,1662.7774,14.8221,4.1006,1.06,27.0674,13.803,16.4343,2.7233,0.79886,0.15495
