PGA,PGV,PGD,Ia,SED,CAV,ASI,HI,EPA,SMA,PP,SMV,str1=Htot/sqrt(Lx2+Ly2),str2=minTuncoupled/maxTuncoupled,str3=e0/Le0,θcr(rad)
0.5802,0.5105,0.6658,0.5249,0.5692,0.7646,0.6328,0.7008,0.6337,0.6485,0.7857,0.7516,0.5714,0.9771,0.0000,4.71238898
0.7765,0.4313,0.3500,0.5718,0.3880,0.7885,0.7753,0.6913,0.7748,0.6610,0.8966,0.5302,0.5714,0.9771,0.0000,6.195918845
0.8369,0.4808,0.3600,0.6163,0.2732,0.8132,0.8715,0.6712,0.8759,0.7666,0.3810,0.6357,0.5714,0.9771,0.0000,4.799655443
0.5675,0.7861,0.7519,0.5862,0.9411,0.8445,0.6666,0.8755,0.6624,0.6484,1.0000,0.8931,0.5714,0.9771,0.0000,4.71238898
0.7205,0.5861,0.8442,0.7274,0.6125,0.8700,0.6997,0.7176,0.7148,0.9300,0.8571,0.8482,0.5714,0.9771,0.0000,4.886921906
0.9331,0.9335,0.1118,0.8789,0.7224,0.9362,0.8779,0.8569,0.8777,0.9621,0.9167,0.8400,0.5714,0.9771,0.0000,3.752457892
0.9934,0.9961,0.6101,0.7734,0.7341,0.9399,0.7027,0.6994,0.7044,0.8820,0.9412,0.9913,0.5714,0.9771,0.0000,5.934119457
0.7774,0.9261,0.7214,0.6935,0.7677,0.8701,0.6777,0.8934,0.6770,0.7462,0.8235,0.9070,0.5714,0.9771,0.0000,5.323254219
0.9203,0.9004,0.9748,0.9149,0.9780,0.9968,0.7041,0.9001,0.7065,0.7701,0.4211,0.9290,0.5714,0.9771,0.0000,3.839724354
0.9200,0.8537,0.7161,0.7357,0.9902,0.8727,0.7148,0.9381,0.7080,0.7868,0.6875,0.8944,0.5714,0.9771,0.0000,4.625122518
1.0000,0.7142,0.8643,0.8286,0.5057,1.0000,0.8871,0.7234,0.8760,0.7957,0.2700,0.7063,0.5714,0.9771,0.0000,3.577924967
0.9473,0.9161,0.3517,0.8424,0.8773,0.9248,0.9945,0.8318,0.9940,0.9787,0.4615,0.8787,0.5714,0.9771,0.0000,4.974188368
0.9518,0.8437,0.8972,0.8694,0.7108,0.9252,0.9565,0.9886,0.9538,0.9314,0.9688,0.9315,0.5714,0.9771,0.0000,4.71238898
0.6681,0.4967,0.7979,0.5386,0.4576,0.9475,0.6015,0.5710,0.5987,0.3197,0.8750,0.3934,0.5714,0.9771,0.0000,4.01425728
0.6335,0.7594,0.7300,0.7770,0.8897,0.9647,0.7758,0.8516,0.7755,0.8245,0.6923,0.9666,0.5714,0.9771,0.0000,5.585053606
0.7472,0.8106,0.6210,0.8974,0.5845,0.8769,0.8311,0.8678,0.8508,0.9662,1.0000,0.9999,0.5714,0.9771,0.0000,3.839724354
0.9598,0.9019,0.5511,0.7692,0.7640,0.9161,0.8309,0.7485,0.8446,0.6527,0.4500,0.8971,0.5714,0.9771,0.0000,3.839724354
0.5802,0.5105,0.6658,0.5249,0.5692,0.7646,0.6328,0.7008,0.6337,0.6485,0.7857,0.7516,0.5325,0.9047,0.0000,4.450589593
0.7765,0.4313,0.3500,0.5718,0.3880,0.7885,0.7753,0.6913,0.7748,0.6610,0.8966,0.5302,0.5325,0.9047,0.0000,4.450589593
0.8369,0.4808,0.3600,0.6163,0.2732,0.8132,0.8715,0.6712,0.8759,0.7666,0.3810,0.6357,0.5325,0.9047,0.0000,5.061454831
0.8172,0.5242,0.4684,0.6905,0.3823,0.8857,0.8805,0.4804,0.8876,0.9392,0.7636,0.5436,0.5325,0.9047,0.0000,5.672320069
0.5675,0.7861,0.7519,0.5862,0.9411,0.8445,0.6666,0.8755,0.6624,0.6484,1.0000,0.8931,0.5325,0.9047,0.0000,3.752457892
0.5650,0.5800,0.9378,0.5163,0.5076,0.7944,0.6210,0.7038,0.6173,0.6883,0.7143,0.6221,0.5325,0.9047,0.0000,5.585053606
0.7205,0.5861,0.8442,0.7274,0.6125,0.8700,0.6997,0.7176,0.7148,0.9300,0.8571,0.8482,0.5325,0.9047,0.0000,4.974188368
0.8290,0.6237,0.6672,0.7642,0.7122,0.9061,0.8852,0.8673,0.8910,0.9638,0.9583,0.8443,0.5325,0.9047,0.0000,1.221730476
0.6757,0.7679,0.8055,0.7132,0.9048,0.8991,0.8690,0.8661,0.8708,0.7732,0.6667,0.9478,0.5325,0.9047,0.0000,2.530727415
0.7792,0.7763,0.7282,0.5537,0.7521,0.7768,0.7520,0.5694,0.7512,0.7696,0.7368,0.6752,0.5325,0.9047,0.0000,4.625122518
0.9331,0.9335,0.1118,0.8789,0.7224,0.9362,0.8779,0.8569,0.8777,0.9621,0.9167,0.8400,0.5325,0.9047,0.0000,4.01425728
0.9830,0.7221,0.9163,0.8143,0.5198,0.8996,0.7480,0.7290,0.7488,0.7255,0.9474,0.9977,0.5325,0.9047,0.0000,1.308996939
0.7086,0.6462,0.9656,0.5759,0.5645,0.7902,0.8190,0.6801,0.8192,0.8382,0.3220,0.7274,0.5325,0.9047,0.0000,4.36332313
0.9934,0.9961,0.6101,0.7734,0.7341,0.9399,0.7027,0.6994,0.7044,0.8820,0.9412,0.9913,0.5325,0.9047,0.0000,3.141592654
0.7774,0.9261,0.7214,0.6935,0.7677,0.8701,0.6777,0.8934,0.6770,0.7462,0.8235,0.9070,0.5325,0.9047,0.0000,4.974188368
0.9203,0.9004,0.9748,0.9149,0.9780,0.9968,0.7041,0.9001,0.7065,0.7701,0.4211,0.9290,0.5325,0.9047,0.0000,5.497787144
0.9200,0.8537,0.7161,0.7357,0.9902,0.8727,0.7148,0.9381,0.7080,0.7868,0.6875,0.8944,0.5325,0.9047,0.0000,4.625122518
1.0000,0.7142,0.8643,0.8286,0.5057,1.0000,0.8871,0.7234,0.8760,0.7957,0.2700,0.7063,0.5325,0.9047,0.0000,5.759586532
0.9473,0.9161,0.3517,0.8424,0.8773,0.9248,0.9945,0.8318,0.9940,0.9787,0.4615,0.8787,0.5325,0.9047,0.0000,3.665191429
