DI_PA_1st,PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_PA
0.053,105.9497,5.1544,7.1333,21.2074,420.6661,20.5553,0.25884,17.045,19.85,7.25,1.1199,26.4491,561.5854,10.4731,18.3578,13.34,0.056
0.366,211.007,30.4961,24.5072,89.7988,1301.9185,6.9191,9.895,35.72,42.7,33.92,2.2628,37.5959,1377.7348,74.5542,80.7106,149.3205,0.504
0.063,627.2587,40.3821,84.6427,345.5482,1574.2646,15.5331,8.9928,19.95,22.455,28.065,15.5893,98.6801,4378.403,85.3444,229.564,104.436,0.184
0.068,464.0917,56.2591,92.3287,132.6148,709.3318,8.2492,1.6254,8.585,11.465,13.725,13.9019,93.1995,2636.2722,96.3003,189.053,105.5536,0.217
0.132,263.8204,44.2647,19.697,80.7711,765.9119,5.9601,3.3113,12.565,19.325,13.83,5.7911,60.1508,1653.6484,83.3391,45.7918,155.2392,0.514
0.161,412.8381,62.3516,12.9898,168.9584,582.1389,6.6211,6.7959,3.08,4.045,6.83,49.4733,175.9093,4094.571,82.6011,18.8996,205.1481,0.261
0.038,42.7382,4.4403,1.3997,4.584,270.8964,9.625,0.22629000000000002,34.91,42.49,0.0,0.11831000000000001,8.5969,148.9312,10.7932,4.5747,25.0134,0.053
0.107,793.5563,84.3617,26.1713,574.6034,1158.5336,9.4066,20.0492,4.17,4.66,7.24,123.9761,278.415,9486.5218,120.5533,42.1247,282.1451,0.595
0.038,448.5311,22.0779,54.1314,63.509,325.199,20.3159,0.074138,3.04,3.765,4.8100000000000005,18.7881,108.324,1965.7286,29.1525,78.4165,22.9943,0.042
0.162,127.4862,42.599,379.858,113.3856,1378.631,2.9927,10.9533,33.19,37.485,34.055,3.0756,43.8272,1671.5486,102.2472,1220.7413,143.069,0.605
0.026000000000000002,708.2742,61.6071,17.3658,415.5916,1169.9243,11.4966,1.7288000000000001,5.895,7.235,10.855,63.3228,198.8729,6809.3461,95.9957,31.3707,199.1655,0.481
0.11800000000000001,72.3857,1.5664,0.09411699999999999,1.7570000000000001,70.257,46.2112,0.0028206999999999998,4.65,6.58,0.39,0.34012000000000003,14.5821,120.0764,2.3002000000000002,0.15709,2.7039,0.11800000000000001
1.235,136.1229,10.8142,1.5277,19.0731,325.3495,12.5874,0.58633,10.205,14.025,4.79,1.6821000000000002,32.4188,589.659,19.3285,3.3137,35.09,1.236
0.199,327.325,14.4965,1.0384,41.0449,382.5762,22.5796,0.52495,6.8100000000000005,8.74,7.76,5.4358,58.3077,1161.8827,23.418,1.9682,30.0251,0.201
0.369,157.1131,52.384,49.5122,147.2875,1464.6953,2.9993,14.1657,27.56,32.29,30.125,4.8116,54.815,2130.5348,120.024,149.5566,127.8616,1.051
0.037,362.9042,77.139,375.7903,211.0316,1069.7177,4.7045,14.8888,12.955,16.475,20.59,14.6634,95.7119,3370.294,146.3469,882.5881,248.0487,0.649
0.739,162.0538,57.1276,280.5956,137.2602,1409.945,2.8367,14.6549,27.67,31.205,31.255,4.4644,52.7945,2017.8444,131.0233,848.6929,142.6946,1.329
0.069,345.9185,75.6005,57.1066,175.1686,998.7837,4.5756,2.3741,6.98,11.45,13.135,22.5886,118.6634,3415.0943,122.882,109.1369,147.0348,0.9410000000000001
0.036000000000000004,264.8058,24.811,9.3588,117.9107,1186.2693,10.6729,1.5159,20.57,26.9,38.29,5.1601,56.7792,1940.4436,52.8389,25.6428,95.8639,0.201
0.033,154.4173,22.3019,25.3359,44.8574,542.7764,6.924,2.4078,14.255,16.47,15.67,2.8327,42.0673,1030.1487,43.3344,61.4318,87.2918,0.13
0.192,221.5245,15.0307,1.7008,26.9825,250.6829,14.7381,0.12159,4.425,6.555,2.685,5.5049,58.6632,945.161,21.8001,2.7923,31.9933,0.192
0.273,440.429,20.5905,4.7547,96.5309,763.3019,21.3899,0.9333,10.5,14.49,13.81,8.2761,71.9242,1976.5458,37.065,10.4117,57.9279,0.28200000000000003
0.057,1009.9261,41.5727,16.4496,1332.4398,2883.8093,24.293,13.5045,13.345,16.96,23.895,89.8596,236.9397,13323.4297,79.458,39.0177,97.5814,0.154
0.029,492.7385,44.5154,5.0581,529.8105,1794.3542,11.0689,6.6614,9.815,12.035,16.74,48.5881,174.2403,7205.5664,78.7921,10.8296,120.8907,0.145
0.07,245.6409,10.5809,61.1153,22.5318,242.1739,23.2154,0.28600000000000003,5.215,8.28,1.865,3.9023,49.3638,792.0262,15.9896,105.9826,24.9898,0.073
0.34,249.1429,47.5613,48.8449,229.6128,1984.604,5.2384,0.9057100000000001,26.7,32.34,34.145,7.7408,69.5306,2995.8439,108.1139,145.99,128.0027,0.676
0.051000000000000004,471.9617,38.5467,5.6521,176.5783,739.6713,12.2439,1.0441,5.465,9.14,12.89,29.1908,135.0141,3667.4448,58.9366,9.9558,102.6906,0.149
0.308,248.2343,49.5516,589.4754,95.5524,1108.3231,5.0096,10.5331,32.61,37.085,31.955,2.6372999999999998,40.5863,1476.5365,118.4119,1883.2847,103.7145,0.47500000000000003
0.031,278.2916,27.6156,18.1481,122.5059,916.5267,10.0773,0.77088,10.5768,14.9643,16.0251,10.4245,80.7005,2357.7149,49.8015,39.8367,78.5199,0.08
0.07100000000000001,170.8776,12.5492,1.318,19.3886,314.0057,13.6166,1.2762,8.815,12.205,5.795,1.9799,35.173,619.3346,21.6233,2.7227,33.8669,0.077
0.199,37.4735,5.3548,17.6955,4.573,234.7678,6.9982,0.14032,26.395,28.15,0.0,0.15598,9.8694,159.2921,12.1373,52.6871,24.9503,0.20600000000000002
0.669,617.6512,30.7647,3.5287,213.8482,777.668,20.0766,0.8950100000000001,3.42,6.36,12.165,56.3331,187.7042,4755.8065,41.8368,5.3165,87.0651,0.673
0.203,263.8204,44.2647,19.697,80.7711,765.9119,5.9601,3.3113,12.565,19.325,13.83,5.7911,60.1508,1653.6484,83.3391,45.7918,155.2392,0.443
0.121,504.4549,52.3934,15.1207,316.3043,1488.4212,9.6282,20.0185,8.54,13.62,17.74,33.3305,144.4441,5073.1631,89.5655,30.907,228.9176,0.41600000000000004
0.663,320.6725,44.3387,165.7083,192.269,1149.4475,7.2323,14.4797,14.76,15.57,16.175,11.7232,85.5242,3038.6199,86.907,406.4805,207.8336,0.731
0.049,483.6323,31.1103,2.4009,137.1271,862.5703,15.5458,0.59548,10.42,13.93,13.8,11.8581,86.0959,2578.7392,55.8947,5.2439,70.6137,0.073
0.091,492.7385,44.5154,5.0581,529.8105,1794.3542,11.0689,6.6614,9.815,12.035,16.74,48.5881,174.2403,7205.5664,78.7921,10.8296,120.8907,0.183
0.034,162.0538,57.1276,280.5956,137.2602,1409.945,2.8367,14.6549,27.67,31.205,31.255,4.4644,52.7945,2017.8444,131.0233,848.6929,142.6946,1.087
0.035,210.0352,34.1795,290.1803,112.6615,1124.0386,6.1451,18.6832,26.11,34.95,11.22,3.8963,49.3377,1770.8074,77.2623,860.8686,145.3767,0.23800000000000002
0.067,117.6247,12.6579,4.7182,19.4311,349.7255,9.2926,0.20024000000000003,10.41,15.855,5.63,1.6800000000000002,32.3987,594.9995,22.7366,10.3022,47.2821,0.08700000000000001
0.08600000000000001,208.3991,37.6447,54.5086,87.8574,919.8315,5.536,3.5156,19.505,21.48,23.015,4.0541,50.3185,1576.3951,79.1116,146.7282,100.5531,0.596
0.037,847.5315,67.6879,21.1193,567.2129,1467.9068,12.5212,0.8614700000000001,6.9564,8.547,10.3224,73.3833,214.1785,8267.1523,109.9276,40.3157,204.3608,0.502
0.036000000000000004,94.1207,39.3336,387.9474,67.2144,1152.2636,2.3929,8.3023,42.89,45.23,34.02,1.4102000000000001,29.6748,1058.6665,100.6591,1357.9741,93.5425,0.767
0.058,273.2688,35.8114,14.623,104.3195,890.361,7.6308,6.3446,13.275,19.96,11.44,7.0727,66.4726,1974.6099,68.3566,34.6243,125.7451,0.292
0.025,620.4955,17.7623,3.1831,100.567,717.9525,34.9333,1.1038000000000001,7.53,10.72,12.28,12.0463,86.7891,2218.6841,29.4237,6.2389,72.9047,0.096
0.229,821.5216,43.6399,5.2388,597.0982,1912.5742,18.825,7.3635,12.25,14.02,19.06,43.8578,165.554,7455.5161,81.6428,12.0765,142.6773,0.264
0.398,109.992,1.8813,2.9148,3.6819,76.0613,58.4675,0.0046935,3.265,4.825,1.29,1.0161,25.21,228.7181,2.5288,4.3242,2.8384,0.398
0.064,158.4368,15.1629,24.1784,30.7014,433.6738,10.449,0.14361000000000002,12.34,14.315,8.085,2.2409,37.4139,803.9082,28.4191,55.8726,68.8233,0.14
0.154,976.0419,67.401,24.2975,652.0632,1643.896,14.4811,14.3539,5.69,7.48,15.13,103.3053,254.0048,9656.4831,104.0985,43.3776,338.7328,0.525
0.974,44.1972,7.9751,3.4076,4.4705,235.4942,5.5419,0.28044,25.575,27.85,0.0,0.15734,9.9123,157.8216,17.9345,10.0398,26.9916,0.975
0.051000000000000004,60.2797,1.24,0.10177000000000001,0.7481700000000001,28.0191,48.6113,0.0014548,1.7000000000000002,2.22,0.0,0.39740000000000003,15.7768,81.7059,1.4159000000000002,0.12146000000000001,2.107,0.051000000000000004
0.878,158.4368,15.1629,24.1784,30.7014,433.6738,10.449,0.14361000000000002,12.34,14.315,8.085,2.2409,37.4139,803.9082,28.4191,55.8726,68.8233,0.887
0.025,174.8716,14.7503,10.6082,29.499,414.7112,11.8554,0.34625,9.47,16.83,3.99,2.8034,41.8533,833.2379,25.8755,22.4436,52.4499,0.065
0.151,78.7693,3.3269,2.1954000000000002,14.0204,383.3325,23.6766,0.19989,22.205,26.19,5.545,0.5683100000000001,18.8413,385.3836,7.2219,6.1706,10.641,0.169
0.035,72.3857,1.5664,0.09411699999999999,1.7570000000000001,70.257,46.2112,0.0028206999999999998,4.65,6.58,0.39,0.34012000000000003,14.5821,120.0764,2.3002000000000002,0.15709,2.7039,0.035
0.17,414.2005,26.5829,2.3155,146.7154,692.343,15.5815,1.0731,6.035,8.55,10.715,21.8798,116.9429,3106.7018,41.665,4.2157,56.3856,0.17300000000000001
0.187,45.9456,9.0507,103.4173,5.4571,246.3931,5.0764,0.28883000000000003,24.18,31.12,0.0,0.20324,11.267900000000001,185.9917,20.07,299.0511,30.0064,0.191
1.178,821.5216,43.6399,5.2388,597.0982,1912.5742,18.825,7.3635,12.25,14.02,19.06,43.8578,165.554,7455.5161,81.6428,12.0765,142.6773,1.178
0.031,472.2084,40.9528,16.4014,212.7644,1008.5547,11.5306,2.3125,6.59,9.835,11.55,29.0742,134.6365,4010.3944,65.6153,30.7499,188.3504,0.391
0.405,58.1707,1.8904,0.6308900000000001,4.1876,247.7154,30.7716,0.013529,27.81,37.725,0.025,0.13555,9.2014,147.1919,4.3411,1.9114,5.8114,0.405
0.199,188.2336,14.789,13.0142,42.2671,619.6671,12.7279,0.5098600000000001,18.525,23.655,12.62,2.0536,35.8168,922.5915,30.6817,34.4353,62.9695,0.215
0.154,914.2972,92.7711,176.083,663.9362,1472.7062,9.8554,8.7113,7.51,8.55,10.075,79.6907,223.1503,9135.1577,153.5757,344.8239,225.5243,0.527
0.304,305.4747,4.0484,0.19688000000000003,14.358,148.7279,75.4563,0.016665,1.815,3.455,1.635,7.121,66.7794,735.1943,4.6989,0.24015000000000003,4.0422,0.304
0.132,289.9244,8.9584,0.46815,53.9071,487.552,32.3635,0.10744000000000001,6.525,9.125,6.625,7.4497,68.2339,1439.762,14.3177,0.8748100000000001,20.1442,0.134
0.04,475.1093,39.6576,25.1324,135.5047,838.7523,11.9803,1.845,6.715,10.875,8.84,18.1663,106.543,2849.7743,63.8392,47.4151,177.9486,0.331
0.061,306.183,39.3659,7.0217,87.1726,692.8425,7.7779,2.2311,10.655,13.35,11.04,7.3663,67.8173,1823.0039,71.1228,15.4511,109.1651,0.152
0.041,73.5415,3.7787,1.3223,4.8918,176.6328,19.4619,0.029540000000000004,11.66,16.045,1.995,0.37758,15.3592,205.5429,6.9827,2.9985,15.1638,0.043000000000000003
0.878,160.4004,8.9872,39.6157,19.3278,259.2968,17.8476,0.20969000000000002,6.82,8.79,6.235,2.5513,39.9311,658.9597,14.5235,75.1269,21.8878,0.878
0.082,98.8231,15.8812,31.0942,36.6199,671.8231,6.2227,2.4304,28.315,31.535,25.645,1.1638,26.9616,744.9486,36.6342,94.7729,66.6199,0.121
0.424,310.3027,15.9364,30.3916,99.8644,708.4757,19.4713,0.89961,9.6,12.1,15.49,9.3778,76.5681,2075.9052,28.0517,64.5919,59.4523,0.446
0.026000000000000002,438.7398,36.9881,8.4388,184.1456,673.6942,11.8616,2.4454000000000002,4.535,6.48,8.42,36.5804,151.2295,3960.4382,53.9767,13.9681,150.3937,0.15
1.124,141.4295,41.0022,140.4506,98.2681,1025.4767,3.4493,4.7871,21.43,25.68,18.005,4.1292,50.7876,1675.5115,88.2192,390.1194,99.7791,1.2429999999999999
0.091,121.0997,6.0642,0.22842,18.6298,283.3891,19.9697,0.15416000000000002,6.125,8.635,4.16,2.7441,41.4147,659.6063,9.54,0.41793,9.6138,0.091
0.139,272.0476,22.9321,5.9667,105.4719,905.526,11.8632,5.7614,12.99,19.68,13.885,7.3082,67.5582,2001.342,43.5357,14.0262,108.196,0.281
0.031,153.1282,12.7697,1.7743,43.3812,600.8718,11.9916,1.6674,15.3,17.64,10.68,2.552,39.929,986.9111,25.2553,4.4048,47.7646,0.05
0.048,156.1042,8.0896,11.2124,9.7079,172.939,19.2969,0.24706000000000003,8.08,11.36,0.61,1.0821,26.0043,376.9408,13.6389,22.4992,19.4419,0.05
0.273,422.5947,41.6563,5.0712,160.2336,881.3982,10.1448,3.0492,8.54,12.34,12.04,16.9017,102.7864,3045.3161,71.2108,10.3657,123.4398,0.29
