DI_DC_1st,PGA,PGV,PGD,I_A,CAV,\dfracPGAPGV,I_AS,SMD_TB,SMD_ROG,SMD_Bolt,P_90,a_rms,I_c,I_FVF,I_RG,SI_H,DI_DC
0.1353,144.4176,23.7534,95.9462,54.9369,877.0294,6.0799,5.3758,32.65,35.89,20.59,1.5166,30.7801,975.7675,56.7802,306.6589,101.8196,0.37852
0.051462,32.7152,5.6035,2.8003,4.7292000000000005,249.0777,5.8384,0.22782000000000002,24.055,27.7,0.0,0.17714000000000002,10.5192,167.3312,12.4096,8.0835,31.9966,0.056318
0.06896000000000001,1278.1586,78.4998,14.6015,385.4557,1047.6697,16.2823,7.6439,3.205,6.4,11.17,108.2708,260.231,7515.4068,105.033,21.5282,240.408,0.41575
0.051885999999999995,174.0225,7.8476,0.62216,30.2613,468.0635,22.1753,0.51037,14.16,19.47,9.05,1.924,34.6703,768.1888,15.223,1.5051999999999999,18.636,0.053298
0.049193,144.4176,23.7534,95.9462,54.9369,877.0294,6.0799,5.3758,32.65,35.89,20.59,1.5166,30.7801,975.7675,56.7802,306.6589,101.8196,0.48915000000000003
0.028863999999999997,208.3991,37.6447,54.5086,87.8574,919.8315,5.536,3.5156,19.505,21.48,23.015,4.0541,50.3185,1576.3951,79.1116,146.7282,100.5531,0.32801
0.092738,85.7137,6.1268,0.5387700000000001,4.1352,107.1196,13.9899,0.12231000000000002,4.985,8.39,0.35000000000000003,0.7547400000000001,21.7187,225.9869,9.1548,0.92037,12.2958,0.092738
0.35975,315.1351,28.4895,7.9011,115.1714,788.951,11.0614,0.45256,6.67,9.97,9.365,15.5564,98.5405,2526.2995,45.7843,14.8729,105.7477,0.35975
0.40921,433.2306,24.0622,3.5648,126.4505,553.7122,18.0046,0.7218300000000001,3.2800000000000002,3.9050000000000002,4.765,34.7885,147.4932,3244.1062,32.3821,5.2965,49.9159,0.40921
0.17136,170.8776,12.5492,1.318,19.3886,314.0057,13.6166,1.2762,8.815,12.205,5.795,1.9799,35.173,619.3346,21.6233,2.7227,33.8669,0.40238
0.088446,931.4603,77.3276,9.713799999999999,692.8675,1685.7783,12.0456,7.6952,6.025,6.73,13.065,103.4488,254.2701,9952.2564,121.1501,17.6756,224.2393,0.35373000000000004
0.6093700000000001,793.5563,84.3617,26.1713,574.6034,1158.5336,9.4066,20.0492,4.17,4.66,7.24,123.9761,278.415,9486.5218,120.5533,42.1247,282.1451,0.6216200000000001
0.20671,1001.9955,48.3751,46.6961,421.2646,855.945,20.7131,9.0105,2.895,4.235,6.43,131.0967,286.3101,8242.8855,63.1007,66.5524,177.4808,0.45006
0.5465800000000001,409.272,41.2355,89.6379,207.2716,883.3191,9.9252,4.8819,6.4077,8.268,10.686,29.1274,134.9083,3966.5139,65.6066,166.4915,143.414,0.5594
0.052169,186.2925,21.7033,4.6007,23.8684,227.6227,8.5836,0.16389,3.16,4.63,3.74,6.796,65.1717,935.2589,28.9366,6.7512,72.6918,0.21163
0.48206000000000004,497.1948,39.6347,104.3575,111.8205,635.0892,12.5444,1.2741,8.885,10.905,13.555,11.3305,84.1314,2300.2025,68.4289,216.1438,124.2284,0.5841900000000001
0.21426,89.4035,11.2945,4.1565,16.6005,487.3184,7.9156,2.213,28.96,35.93,3.58,0.5160800000000001,17.9558,409.4566,26.201,12.7641,49.5826,0.50873
0.09007699999999999,844.0205,37.8212,14.9681,634.5981,1559.3558,22.3161,5.0191,6.085,7.05,12.76,93.8767,242.1992,9297.9932,59.4019,27.3267,154.1762,0.45925000000000005
0.047411999999999996,300.9597,42.809,10.4852,122.9674,762.7894,7.0303,0.7923500000000001,9.76,11.5,12.12,11.3672,84.2969,2417.9227,75.6654,22.4074,162.8714,0.27504
0.1656,94.5224,24.8616,200.2206,27.1416,719.8879,3.802,2.4045,46.83,49.555,38.83,0.5217900000000001,18.0526,524.8957,65.0368,721.6892,77.0178,0.39084
0.057297,63.3482,2.7992,3.6205,1.0451,56.2304,22.6312,0.0044542,7.17,9.605,0.0,0.13119,9.0547,72.958,4.5804,6.9813,4.472,0.057297
0.062716,161.1827,22.2246,10.284,71.4353,1109.0342,7.2524,1.8541,31.885,35.765,29.485,2.0163,35.4854,1193.6225,52.8118,32.6106,103.2876,0.25399
0.057366999999999994,143.9413,50.2974,413.2324,126.398,1397.0248,2.8618,7.8564,30.08,34.89,32.69,3.7813,48.598,1858.0916,117.7917,1285.1495,166.2717,0.55923
0.08681000000000001,159.2317,12.5802,1.2854,10.5453,142.888,12.6573,0.6872600000000001,2.83,3.79,1.12,3.3563,45.8063,521.5315,16.3168,1.8182,31.9729,0.12259
0.5658500000000001,518.6263,48.9252,48.8509,169.4188,966.4078,10.6004,2.3405,8.295,10.395,9.94,18.3856,107.1819,3195.8794,83.0304,98.8883,168.0752,0.5658500000000001
0.043328,47.185,4.2406,13.1736,3.3278,157.8788,11.1269,0.075102,18.025,23.92,0.0,0.16617,10.1884,138.0686,8.7377,34.5405,14.4762,0.043328
0.077938,111.2798,9.6714,1.857,19.9554,474.0176,11.506,0.95657,17.76,27.01,9.09,1.0115,25.1412,531.2526,19.8542,4.845,41.8082,0.18044000000000002
0.0,175.8407,30.0184,80.2815,68.8434,854.7006,5.8578,1.8623,33.22,35.285,33.96,1.8649,34.1265,1149.0485,72.0673,258.0767,107.3255,0.6199
0.39888,611.9494,90.9829,567.0711,174.4594,790.5066,6.726,19.2586,8.495,12.495,9.25,18.5145,107.3215,3240.4988,155.3283,1157.0673,231.4556,0.55649
0.10832000000000001,105.9497,5.1544,7.1333,21.2074,420.6661,20.5553,0.25884,17.045,19.85,7.25,1.1199,26.4491,561.5854,10.4731,18.3578,13.34,0.14155
0.48385000000000006,211.007,30.4961,24.5072,89.7988,1301.9185,6.9191,9.895,35.72,42.7,33.92,2.2628,37.5959,1377.7348,74.5542,80.7106,149.3205,0.48385000000000006
0.084377,627.2587,40.3821,84.6427,345.5482,1574.2646,15.5331,8.9928,19.95,22.455,28.065,15.5893,98.6801,4378.403,85.3444,229.564,104.436,0.18895
0.27005,464.0917,56.2591,92.3287,132.6148,709.3318,8.2492,1.6254,8.585,11.465,13.725,13.9019,93.1995,2636.2722,96.3003,189.053,105.5536,0.48075000000000007
0.15343,263.8204,44.2647,19.697,80.7711,765.9119,5.9601,3.3113,12.565,19.325,13.83,5.7911,60.1508,1653.6484,83.3391,45.7918,155.2392,0.50133
0.44774,412.8381,62.3516,12.9898,168.9584,582.1389,6.6211,6.7959,3.08,4.045,6.83,49.4733,175.9093,4094.571,82.6011,18.8996,205.1481,0.44774
0.058762999999999996,42.7382,4.4403,1.3997,4.584,270.8964,9.625,0.22629000000000002,34.91,42.49,0.0,0.11831000000000001,8.5969,148.9312,10.7932,4.5747,25.0134,0.069505
0.34840000000000004,793.5563,84.3617,26.1713,574.6034,1158.5336,9.4066,20.0492,4.17,4.66,7.24,123.9761,278.415,9486.5218,120.5533,42.1247,282.1451,0.43086
0.047411999999999996,448.5311,22.0779,54.1314,63.509,325.199,20.3159,0.074138,3.04,3.765,4.8100000000000005,18.7881,108.324,1965.7286,29.1525,78.4165,22.9943,0.054563999999999994
0.45895,127.4862,42.599,379.858,113.3856,1378.631,2.9927,10.9533,33.19,37.485,34.055,3.0756,43.8272,1671.5486,102.2472,1220.7413,143.069,0.58116
0.048268,708.2742,61.6071,17.3658,415.5916,1169.9243,11.4966,1.7288000000000001,5.895,7.235,10.855,63.3228,198.8729,6809.3461,95.9957,31.3707,199.1655,0.5564800000000001
0.15808000000000003,72.3857,1.5664,0.09411699999999999,1.7570000000000001,70.257,46.2112,0.0028206999999999998,4.65,6.58,0.39,0.34012000000000003,14.5821,120.0764,2.3002000000000002,0.15709,2.7039,0.26088
0.7121500000000001,136.1229,10.8142,1.5277,19.0731,325.3495,12.5874,0.58633,10.205,14.025,4.79,1.6821000000000002,32.4188,589.659,19.3285,3.3137,35.09,0.7121500000000001
0.41319000000000006,327.325,14.4965,1.0384,41.0449,382.5762,22.5796,0.52495,6.8100000000000005,8.74,7.76,5.4358,58.3077,1161.8827,23.418,1.9682,30.0251,0.45608000000000004
0.40967000000000003,157.1131,52.384,49.5122,147.2875,1464.6953,2.9993,14.1657,27.56,32.29,30.125,4.8116,54.815,2130.5348,120.024,149.5566,127.8616,0.6902900000000001
0.057297,362.9042,77.139,375.7903,211.0316,1069.7177,4.7045,14.8888,12.955,16.475,20.59,14.6634,95.7119,3370.294,146.3469,882.5881,248.0487,0.37952
0.55284,162.0538,57.1276,280.5956,137.2602,1409.945,2.8367,14.6549,27.67,31.205,31.255,4.4644,52.7945,2017.8444,131.0233,848.6929,142.6946,0.6851
0.089099,345.9185,75.6005,57.1066,175.1686,998.7837,4.5756,2.3741,6.98,11.45,13.135,22.5886,118.6634,3415.0943,122.882,109.1369,147.0348,0.61114
0.060293,264.8058,24.811,9.3588,117.9107,1186.2693,10.6729,1.5159,20.57,26.9,38.29,5.1601,56.7792,1940.4436,52.8389,25.6428,95.8639,0.44266000000000005
0.041814,154.4173,22.3019,25.3359,44.8574,542.7764,6.924,2.4078,14.255,16.47,15.67,2.8327,42.0673,1030.1487,43.3344,61.4318,87.2918,0.22945000000000002
0.30571000000000004,221.5245,15.0307,1.7008,26.9825,250.6829,14.7381,0.12159,4.425,6.555,2.685,5.5049,58.6632,945.161,21.8001,2.7923,31.9933,0.45805
0.19603,440.429,20.5905,4.7547,96.5309,763.3019,21.3899,0.9333,10.5,14.49,13.81,8.2761,71.9242,1976.5458,37.065,10.4117,57.9279,0.43009000000000003
0.055968,1009.9261,41.5727,16.4496,1332.4398,2883.8093,24.293,13.5045,13.345,16.96,23.895,89.8596,236.9397,13323.4297,79.458,39.0177,97.5814,0.32272
