HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
0.019329,0.013132,0.416019,0.019112,0.689751,0,0.195436,0.048506,0.001705,0,0.019143,0.015242,0.018827,0.001887,0,0,0,0,A
0.074127,0.040437,0.379787,0.053245,0.586178,0,0.351571,0.127026,0.006009,0,0.053224,0.046891,0.017693,0.013086,0,0,0,0,A
0.146072,0.134162,0.249358,0.152392,0.748718,0.504922,0.383295,0.281671,0.021481,0.077925,0.153012,0.116694,0.045769,0.051054,0,0,0,0,B
0,0,0.568314,0,0.30652,0,0.813419,0,0,0,0,0,0,0,0,0,0,0,A
0.033824,0.064207,0.09793,0.081176,0.424554,0.034215,0.083882,0.111712,0.001756,0.003098,0.081785,0.02807,0.031572,0.01366,0,0,0,0,A
0.018205,0.010919,0.475551,0.01069,0.121746,0,1,0.006926,0.000274,0,0.010767,0.014688,0.003812,0.000467,0,0,0,0,A
0.12125,0.184918,0.182461,0.177563,0.072403,0.047418,0.391194,0.078531,0.006438,0.040271,0.179616,0.131279,0.02752,0.02695,0,0,0,0,C
0.035559,0.125003,0.073364,0.143779,0,0.017858,0.187647,0.028218,0.00073,0.018758,0.142213,0.052467,0.004666,0.008982,0,0,0,0,A
0.525322,0.341383,0.301323,0.513434,0.294368,0.354822,0.204596,0.467561,0.160747,0.557903,0.509226,0.347177,0.152284,0.312759,0,0,0,0,C
0.521384,0.301802,0.571881,0.362057,0.625252,0.582175,0.203006,0.557335,0.390203,0.417951,0.36313,0.509504,0.762245,0.263137,0,0,0,0,C
0.691329,0.525641,0.355255,0.659355,0.197677,0.291892,0.281145,0.484072,0.290723,0.450605,0.656446,0.606326,0.524756,0.472252,0,0,0,0,C
0.404966,0.343401,0.221193,0.410671,1,1,0.137468,1,0.315822,0.911717,0.417012,0.280982,0.23455,0.501242,0,0,0,0,C
0.382833,0.365887,0.29469,0.441108,0.258458,0.25115,0.346741,0.336403,0.076172,0.286741,0.44392,0.366335,0.14372,0.19417,0,0,0,0,C
0.32287,0.260644,0.299523,0.263989,0.208726,0.183062,0.187647,0.224404,0.045224,0.169502,0.264321,0.263098,0.080034,0.091103,0,0,0,0,C
0.259153,0.413575,0.115396,0.427547,0.206184,0.22599,0.061072,0.28592,0.035196,0.281489,0.42919,0.231042,0.072069,0.171591,0,0,0,0,C
0.182127,0.308613,0.159461,0.393319,0.220514,0.25418,0.244549,0.250834,0.018763,0.219126,0.395575,0.204729,0.031175,0.12643,0,0,0,0,C
0.680414,0.926634,0.136062,0.81227,0.153992,0.32743,0.378169,0.491073,0.21546,0.371536,0.81448,0.571831,0.281341,0.529394,0,0,0,0,C
0.142294,0.167788,0.212493,0.165445,0.313594,0.154399,0.167645,0.159582,0.015085,0.062895,0.166972,0.131375,0.046105,0.039358,0,0,0,0,B
0.05837,0.16193,0.073364,0.171853,0.33369,0.175872,0.11745,0.16045,0.003335,0.070875,0.171464,0.069813,0.017229,0.038886,0,0,0,0,A
0.124425,0.159999,0.272191,0.155199,0.244515,0.219882,0.019063,0.144466,0.019838,0.082338,0.159591,0.149166,0.106532,0.042055,0,0,0,0,A
0.675761,0.522511,0.438352,0.660988,0.185364,0.244461,0.18538,0.503199,0.692493,0.478893,0.66073,0.709878,0.773003,0.502328,0,0,0,0,C
0.430182,0.239955,0.710343,0.26207,0.189791,0.213153,0.412921,0.266635,0.206948,0.237524,0.266054,0.488033,0.481926,0.129105,0,0,0,0,C
0.545036,0.520591,0.351555,0.468468,0.133207,0.190163,0.110278,0.28878,0.297604,0.216465,0.47054,0.59573,0.547599,0.199095,0,0,0,0,C
0.590827,0.530129,0.484051,0.634485,0.116231,0.183982,0.131751,0.354823,0.518216,0.291935,0.636757,0.780064,0.741521,0.295876,0,0,0,0,C
0.615481,0.47442,0.59268,0.445423,0.179719,0.190719,0,0.367947,0.432329,0.320953,0.451654,0.825292,0.729102,0.286523,0,0,0,0,C
0.061921,0.301827,0.036199,0.314554,0.02744,0.028779,0.161429,0.063388,0.002278,0.037692,0.314383,0.107647,0.008186,0.031861,0,0,0,0,B
0.444662,0.366438,0.383321,0.365515,0.325858,0.281926,0.203539,0.325262,0.158088,0.252447,0.367848,0.447376,0.309987,0.150675,0,0,0,0,C
