MomentMag,Mech,VS30,RjbWork,Ia
5.2,1,421,214.35,0.001948
5.3,1,421,210.97,0.002431
6.5,1,421,209.02,0.17912
5.1,1,421,223.67,0.000733
6.4,1,278,117.2,0.24027
6.5,2,289,78.9,1.4391
5.1,1,361,173.6,0.000525
5,3,361,265.09,0.000366
5.3,2,361,198.27,0.000832
5.4,2,361,97.16,0.015444
4.9,2,361,95.3,0.002436
5.3,2,361,97.4,0.005284
5,1,361,187.31,0.000233
5.4,3,361,179.24,0.005313
6,1,361,174.18,0.063579
5.2,2,361,142.05,0.002113
5.3,1,361,82.07,0.15461
5.1,1,361,194.55,0.002394
5.3,2,361,149.5,0.012704
5.2,1,361,150.38,0.004925
5.3,1,361,148.62,0.001307
6.5,1,361,138.63,0.46049
5.1,1,361,139.08,0.011841
5.2,2,445,285.12,0.000014
5.1,1,445,288.77,0.000014
5.2,2,445,223.82,0.000085
5.2,2,445,234.99,0.000025
5.8,3,445,283.34,0.000061
5.8,1,445,203.96,0.000976
4.8,1,445,208.29,0.000116
5.3,2,445,162.44,0.000202
6.9,1,445,256.92,0.006722
5.2,2,445,226.98,0.000081
5.3,2,445,108.07,0.003123
5.2,1,445,108.09,0.005696
5.1,2,445,185.35,0.000058
5.3,1,445,109.51,0.012028
6.5,2,487,51.3,0.62266
5.4,2,553,232.14,0.000076
4.9,2,553,230.45,0.000008
5.3,2,553,231.76,0.000016
5.4,3,553,261.02,0.000048
6,1,553,252.4,0.00051
5.2,2,553,189.76,0.000024
5.3,1,553,174.62,0.000307
5.1,1,553,277.65,0.000032
5.3,2,553,273.15,0.000125
5.2,1,553,273.9,0.000053
5.3,1,553,273.12,0.000019
6.5,1,553,212.02,0.003997
5.1,1,553,212.89,0.000089
5,3,529,260.23,0.000015
5,1,529,229.81,0.000016
6.1,1,529,155.07,0.017102
5.4,3,529,169.13,0.001866
6,1,529,158.8,0.004649
5.2,2,529,296.12,0.000007
5.3,1,529,136.87,0.000426
5.1,1,529,185.18,0.000553
6.5,1,529,130.05,0.039746
5.1,1,529,132.28,0.001069
5,1,529,111.19,0.001092
5,1,529,147.07,0.000166
6.5,2,369,56.6,3.2594
5.2,2,529,46.7,1.7361
4.8,1,360,168.55,0.010615
5.4,2,360,71.07,0.1142
5.3,2,360,74.03,0.020295
5,1,360,155.57,0.003848
6.1,1,360,201.65,0.15005
5.4,3,360,205.19,0.00491
6,1,360,206.88,0.10874
5.2,2,360,219.62,0.001545
5.3,1,360,172.14,0.02783
5.1,1,360,208.9,0.003667
5.3,2,360,89.88,0.086285
5.2,1,360,91.38,0.1183
5.3,1,360,88.5,0.10031
6.5,1,360,198.12,0.42702
5.1,1,360,202.22,0.004283
5,1,360,209.48,0.002717
5,1,360,206.58,0.001147
5.8,1,369,227.24,0.002377
5.4,2,369,113.78,0.012021
4.9,2,369,119.88,0.000365
5.3,2,369,113.69,0.00335
5,1,369,249.06,0.000026
5.2,2,369,206.5,0.000463
5.3,1,369,250.1,0.000584
5.2,1,369,68.78,0.009629
5.1,2,369,228.98,0.000059
5.3,1,369,68.85,0.041065
6.5,1,369,287.85,0.00618
5.1,1,369,289.02,0.000096
6,2,443,33.1,2.1835
5.8,3,436,223.52,0.001241
5.4,3,436,79.59,0.038096
5.3,3,436,82.65,0.012437
4.8,1,436,124.57,0.003722
6.1,2,436,175.36,0.009944
6.1,3,368,183.48,0.008204
5.5,1,368,195.88,0.000514
5.4,2,368,209.96,0.000323
5.3,2,436,99.45,0.006316
5.8,1,436,239.73,0.001432
5.2,2,436,78.94,0.005007
5.3,1,436,239.6,0.000375
5.3,2,436,216.17,0.000233
5.2,1,436,216.54,0.00018
5.3,1,436,217.01,0.000108
6.5,1,436,295.1,0.003662
5.1,1,436,293.92,0.00006
4.8,1,376,186.52,0.001886
5.4,2,376,83.98,0.008609
4.9,2,376,86.83,0.001203
5.3,2,376,90.08,0.002139
5,1,376,100.36,0.003182
5.4,3,376,149.37,0.002033
6,1,376,151.45,0.043041
5.2,2,376,239.04,0.000043
5.3,1,376,128.68,0.005598
5.1,1,376,152.68,0.002388
5.3,2,376,131.06,0.003496
5.2,1,376,132.48,0.002453
5.3,1,376,130.03,0.004695
6.5,1,376,143.87,0.081018
5.1,1,376,150.3,0.00099
5.1,1,253,196.78,0.003698
5.3,2,253,153.82,0.00297
5,1,253,211.15,0.014642
5.8,1,253,159.19,0.16372
5.2,2,253,210.12,0.001827
5,1,399,188.01,0.000244
6,1,399,212.7,0.010694
5.2,2,399,138.38,0.00187
5.3,1,399,53.03,0.086687
6.5,1,399,191.13,0.048067
5.1,1,399,191.24,0.00076
5.1,1,547,236.72,0.000033
5.4,2,547,221.48,0.000255
5.3,2,547,222.03,0.000056
5.4,3,547,201.41,0.001014
6,1,547,191.44,0.004378
5.2,2,547,225.31,0.000046
5.3,1,547,127.71,0.001351
5.1,1,547,217.89,0.000419
5.3,2,547,274.36,0.000508
5.2,1,547,275.22,0.000128
5.3,1,547,273.62,0.000043
6.5,1,547,153.05,0.029764
5.1,1,547,154.21,0.001243
5.3,1,405,107.23,0.028412
5.1,1,405,197.56,0.006677
5.2,2,405,153.25,0.008434
5.3,2,405,152.96,0.002908
5,1,405,211.95,0.03493
5.8,1,405,158.93,0.15858
6.9,1,405,87.83,5.4396
5.2,2,405,209.24,0.002183
5.1,2,405,254.19,0.000662
4.8,2,354,18.2,0.81785
5.3,2,354,22.5,1.7809
6,2,354,55,1.6625
5.8,1,333,290.95,0.008739
4.8,1,333,159,0.006877
4.9,1,333,155.734912,0.002688
5.4,2,333,81.47,0.046386
4.9,2,333,85.83,0.003478
5.3,2,333,83.86,0.011132
5,1,333,172.38,0.000673
5.4,3,333,223.78,0.001154
6,1,333,225.57,0.031239
5.2,2,333,223.54,0.00064
5.3,1,333,191.13,0.004286
5.1,1,333,226.89,0.000973
5.3,2,333,87.48,0.052704
5.2,1,333,88.58,0.049184
5.3,1,333,85.23,0.079529
6.5,1,333,217.09,0.089333
5.1,1,333,221.55,0.000676
6.7,2,339,5.3,76.1596
6.4,2,339,18.6,21.8322
6.4,1,339,119.2,1.1393
4.6,2,404,40,0.006111
4.4,2,404,45,0.025677
5.2,2,404,40.2,0.12406
5.5,2,404,35.3,0.766
5.1,2,404,44.4,0.063941
5.2,2,404,40.4,0.56021
4.6,2,404,45.1,0.003613
4.5,2,404,41.2,0.001511
4.3,2,404,40.7,0.002106
5.4,2,404,92.2,0.054754
5.4,2,404,42.3,0.10678
5.3,2,404,50.6,0.079666
4.6,2,404,25,0.030874
5.5,1,404,150.5,0.03052
5.7,1,404,150.3,0.02064
5.1,2,404,149.9,0.007192
5.7,1,404,147.6,0.035075
4.4,2,404,24,0.020112
5.2,2,404,93.7,0.067352
5.3,2,404,177.5,0.00277
4.4,2,404,87.7,0.001099
4.6,2,404,90.4,0.002012
4.4,2,404,86.6,0.002919
5.5,2,482,26.3,0.42327
6.5,2,482,10.2,23.7893
4.8,1,556,231.7,0.0001
4.9,1,556,132.649659,0.000769
5.4,2,556,195.15,0.000489
4.9,2,556,195.75,0.000075
5,1,556,21.18,0.061105
6.1,1,556,68.62,0.60446
5.4,3,556,69.66,0.040542
6,1,556,62.12,0.29406
5.3,1,556,138.97,0.00469
5.1,1,556,60.28,0.040071
5.2,1,556,251.57,0.000252
5.1,1,411,213.22,0.000228
5.4,2,411,256.87,0.000743
5.3,1,411,129.09,0.004967
5.1,1,411,171.58,0.005529
6.5,1,411,117.92,0.33431
5.1,1,411,120.21,0.011358
5.3,1,384,292.39,0.00019
5.2,2,384,129.57,0.005706
5.9,2,384,247.64,0.004835
6.1,3,384,276.07,0.001662
5.5,1,384,288.01,0.000099
5.4,2,476,24.6,0.050412
5.1,3,476,29,0.63097
5.2,3,476,53.4,0.77802
6.4,3,476,34.2,23.5146
6.6,3,476,123.6,12.2898
6.8,3,476,37.4,14.5645
6.5,0,476,40.5,4.38
6.2,1,476,50.7,1.6589
5.2,2,431,126.58,0.003834
5.2,2,431,200.51,0.002284
5.4,2,431,198,0.002556
6.2,1,431,178.95,0.058812
5.4,3,431,291.6,0.002001
6.3,3,431,220.23,0.007359
6.1,2,431,211.38,0.003494
5.3,3,431,231.64,0.000175
6.1,3,431,42.15,9.4811
5.5,1,431,53.96,1.916
5.4,2,431,64.57,0.13312
5.2,2,137,216.42,0.000027
6.2,1,137,58.89,0.42551
6.1,3,137,268.84,0.000843
5.5,1,137,276.69,0.000091
5.2,2,437,179.47,0.000214
5.4,2,437,177.17,0.000297
6.2,1,437,206.51,0.003
5.4,3,437,263.87,0.000126
5.3,3,437,261.98,0.000049
6.1,2,437,184.09,0.000437
5,3,437,105.59,0.000076
5.3,3,437,204.8,0.000018
6.1,3,437,15.57,1.5577
5.5,1,437,28.65,0.1286
5.4,2,437,41.57,0.025466
5.3,1,501,168.98,0.000272
5.1,1,501,280.42,0.000025
5.2,2,501,89.92,0.002866
5.3,2,501,87.32,0.002162
5,1,501,295.36,0.000077
5.8,1,501,171.08,0.005014
5.4,2,501,285.05,0.000004
6.9,1,501,103.89,0.37146
5.2,2,501,135.45,0.000567
5.3,2,501,265.75,0.000015
5.2,1,501,265.73,0.000014
5.1,2,501,274.56,0.000013
5.3,1,501,267.23,0.000011
5.8,1,495,164.46,0.058019
4.8,1,495,255.21,0.000395
5.4,2,495,118.98,0.020351
4.9,2,495,123.54,0.000684
5.3,2,495,116.21,0.006817
5.2,2,495,153,0.003732
5.3,1,495,257.95,0.000597
5.3,2,495,55.35,0.085609
5.2,1,495,55.47,0.33906
5.1,2,495,186.46,0.000602
5.3,1,495,58.74,0.28349
5.2,3,641,15.9,0.50459
4.9,1,641,23.6,0.78474
6.4,3,641,91.2,0.379
6.6,3,641,75.8,6.3725
5.8,3,652,52.27,0.048073
4.8,1,652,143.85,0.001151
5,1,652,88.73,0.001268
6,1,652,148.82,0.009682
5.3,1,652,188.65,0.00057
5.1,1,652,146.47,0.000776
5.3,2,652,216.7,0.000116
5.2,1,652,218.2,0.000136
5.3,1,652,215.71,0.000263
6.5,1,652,165.82,0.024133
5.1,1,652,181.12,0.000103
6.6,3,715,76.2,0.45237
4.5,2,631,35.1,0.041878
4.2,1,631,35.2,0.071844
4.3,2,631,12.5,0.064407
4.5,2,631,57.8,0.001336
4.3,1,631,7.8,0.51894
5.1,3,631,142.5,0.004392
5,2,631,38.2,0.005186
4.1,2,631,259.3,0.011874
6.8,3,631,118.3,1.0266
6.5,0,631,98,0.16603
6.2,1,631,103.7,0.034759
6.4,1,631,226.4,0.006975
5.6,3,631,88.9,0.005235
4.8,2,529,24.4,0.10291
5.6,2,543,51.2,0.34546
5.4,2,543,29.3,0.21254
4.9,2,543,27.43,0.020771
5.3,2,543,29.72,0.11459
6,1,543,186.94,0.004596
5.2,2,543,142.41,0.000376
5.3,1,543,110.61,0.00739
5.1,1,543,200.96,0.00016
5.3,2,543,87.84,0.018058
5.2,1,543,88.43,0.008826
5.3,1,543,86.28,0.00214
6.5,1,543,161.96,0.026614
5.1,1,543,162.18,0.000307
6.5,2,307,72.8,5.0594
5.2,2,307,31.8,0.84069
6.4,1,302,179.6,0.49785
6.4,1,321,176.5,0.33752
5.4,2,313,105.98,0.019497
4.9,2,313,104.77,0.001247
5.3,2,313,104.62,0.005246
6.1,1,313,216.43,0.14129
5.4,3,313,231.82,0.004536
6,1,313,227.53,0.041428
5.2,2,313,89.92,0.006636
5.3,1,313,135,0.10486
5.1,1,313,246.91,0.00151
5.3,2,313,137.14,0.011142
5.2,1,313,137.86,0.00759
5.3,1,313,137.22,0.002704
6.5,1,313,192.15,0.30132
5.1,1,313,191.99,0.006493
5.2,2,444,149.4,0.00575
5.3,2,444,147.03,0.003813
5.4,2,444,105.97,0.016019
4.9,2,444,104.74,0.001492
5.3,2,444,104.63,0.005418
6,1,444,226.65,0.03529
5.1,1,270,220.62,0.000384
5.2,2,270,148.04,0.004698
5.3,2,270,145.7,0.003263
5.8,1,270,262.16,0.00324
5,1,270,235.13,0.000164
6.1,1,270,216.6,0.11269
6,1,270,247.85,0.035611
6.9,1,270,247.85,0.22468
5.2,2,270,89.53,0.010442
5.3,1,270,135.22,0.10527
5.1,1,270,247.02,0.001228
5.3,2,270,136.28,0.012319
5.2,1,270,137,0.010756
5.3,1,270,136.36,0.003268
6.5,1,270,192.39,0.31506
5.1,1,270,192.23,0.005034
5,1,270,178.15,0.001902
5,1,270,212.8,0.000896
5,1,249,26.26,0.75553
6.1,1,249,80.58,1.509
5.4,3,249,80.22,0.066239
5.3,1,249,106.65,0.072788
5.1,1,249,80.11,0.053564
5.3,2,249,201.66,0.002045
5.2,1,249,202.99,0.002253
5.3,1,249,200.45,0.002373
6.5,1,249,84.91,3.0083
5.1,1,249,98.05,0.017185
5,1,249,92.54,0.017583
7,3,244,58.8,9.6416
5.2,1,244,10.9,1.9695
5.2,3,244,31.7,4.1626
4.7,1,244,16.3,9.4469
5.4,1,244,16,16.7906
4.8,1,244,20.8,1.4357
5.1,1,244,14.2,5.1933
5.2,1,244,14.8,1.7202
6.2,1,244,17.1,277.1047
4.4,1,244,15.8,0.37682
4.8,1,244,20,14.9181
5.4,3,244,6.3,18.1625
4.9,3,244,14.3,1.6908
4.1,1,244,34,6.1802
4.9,1,244,24.3,1.0634
4.5,1,244,7.7,1.4261
6.4,1,244,107.5,6.5748
5,3,311,164.34,0.002397
5.8,3,311,241.24,0.003162
5,1,311,111.83,0.004379
5.4,3,311,68.84,0.055779
6,1,311,60.63,0.49015
5.2,2,311,262.28,0.000494
5.3,1,311,34.64,0.53867
5.1,1,311,85.54,0.052075
5.2,1,311,234.36,0.001695
5.3,1,311,231.95,0.00084
6.5,1,311,20.01,25.1364
5.1,1,311,21.15,5.5217
5.8,3,291,8.2,85.9746
5,1,291,18.3,6.5891
5.2,3,291,31.5,4.903
4.7,1,291,16.4,6.3989
5.3,3,291,54.5,2.9277
5.4,1,291,16,19.6699
4.8,1,291,20.8,1.8316
5.1,1,291,14.3,5.7833
5.2,1,291,14.9,1.2434
5.1,1,291,16.4,0.33969
4.8,1,291,25.2,0.28155
6.4,1,291,107.6,6.6528
5.1,1,529,238.29,0.000041
5.2,2,529,94.94,0.001948
5.3,2,529,98.43,0.001051
5,1,529,252.94,0.000169
5.8,1,529,38.52,0.36427
6.9,1,529,38.48,8.6204
5.2,2,529,145.86,0.00053
5.3,2,529,202.26,0.000079
5.2,1,529,203.39,0.000158
5.1,2,529,142.26,0.000566
5.3,1,529,207.05,0.000154
5.7,1,408,100.3,0.185
4.8,1,408,76.1,0.039189
4.7,1,408,43.8,0.037851
4.6,1,408,38.5,0.013437
4.9,1,408,232.8,0.004771
4.2,1,408,51.4,0.00352
5.1,1,408,138.8,0.00288
4.4,1,408,24.7,0.11468
4.8,1,408,74.4,0.013282
4.4,2,408,38.7,0.017204
4.2,1,408,91.7,0.005632
5.1,1,408,134.1,0.004742
4.5,2,408,133,0.002832
5.3,2,408,105.2,0.013639
5.3,1,408,81.5,0.12583
5.2,2,384,135.65,0.006981
5.3,2,384,192.85,0.000626
5.2,1,384,194.01,0.000613
5.1,2,384,147.17,0.001702
5.3,1,384,197.5,0.000875
5.4,3,428,293.64,0.00007
6,1,428,284.11,0.00046
5.2,2,428,214.62,0.000014
5.3,1,428,210.89,0.000174
6.5,1,428,244.77,0.002794
5.1,1,428,245.71,0.000083
5.3,2,529,221,0.00006
5.2,1,529,221.37,0.00005
5.3,1,529,221.86,0.000046
5.1,1,320,258.33,0.000026
5.2,2,320,202.74,0.000117
5.4,2,320,201.18,0.000133
5.2,2,320,266.99,0.000026
5.8,3,320,239.59,0.000228
5.8,1,320,248.88,0.000633
4.8,1,320,162.2,0.000819
4.9,1,320,216.010907,0.000086
5.4,2,320,155.72,0.001849
5.3,2,320,156.12,0.000367
5,1,320,269.88,0.000006
5.2,2,320,250.24,0.000067
5.3,1,320,286.94,0.000108
5.3,2,320,114.58,0.003167
5.2,1,320,114.54,0.002809
5.3,1,320,114.6,0.008732
6,1,249,6.36,285.2485
5.3,1,249,96.64,0.17186
5.1,1,249,12.27,27.0467
5.2,1,249,263.11,0.001397
5.3,1,249,260.55,0.006691
6.5,1,249,29.9,33.4803
5.1,1,249,48.24,0.14812
5,1,249,13.2,1.7216
4.8,1,249,18.6,2.0251
4.8,1,249,12.6,3.3382
6.6,3,249,67.9,0.56461
4.5,1,249,10.3,1.9949
4.8,1,249,12.7,0.72922
4.4,1,249,14,0.26894
4.3,1,249,9,0.022281
4.3,1,249,17.5,0.059773
4.5,1,249,12.6,0.030931
4.5,2,249,3.7,2.2975
4.3,1,249,14.3,0.49919
6.4,1,249,92.7,2.7408
5.3,2,249,262.01,0.000597
5.3,1,249,260.6,0.000236
6.5,1,249,30.07,13.2554
5.1,1,249,48.4,0.060535
5,1,249,72.72,0.011693
5,1,249,28.28,1.1027
6.1,1,249,2.57,286.6079
6.4,1,457,152,0.24288
5.1,1,464,84.48,0.001749
5,3,464,148.4,0.000087
5.8,3,464,220.61,0.000153
4.9,1,464,225.216288,0.000085
5.3,2,464,163.87,0.000054
5,1,464,91.44,0.00068
6.1,1,464,36.87,1.0076
5.4,3,464,55.15,0.047493
6,1,464,48.37,0.46182
5.2,2,464,266.22,0.00001
5.3,1,464,38.02,0.063681
5.1,1,464,71.46,0.022247
5.3,2,464,225.73,0.000085
5.2,1,464,226.67,0.000038
5,3,360,171.82,0.002558
5.8,3,360,83.46,0.091929
4.8,1,360,124.93,0.005842
4.9,1,360,68.268343,0.060481
5.4,2,360,145.98,0.005877
4.9,2,360,149.62,0.000597
5.3,2,360,151.93,0.001435
5,1,360,112.71,0.00308
5.4,3,360,175.97,0.002641
6,1,360,176.53,0.1104
5.3,1,360,188.04,0.012297
5.1,1,360,172.85,0.002665
5.3,2,360,176.34,0.003167
5.2,1,360,177.85,0.004426
5.3,1,360,174.92,0.003332
6.5,1,360,181.59,0.25189
5.1,1,360,194,0.001175
5,1,376,289.21,0.000235
5.2,2,376,244.9,0.000679
5.2,2,376,92.65,0.052898
5.4,2,376,91.57,0.057295
5.8,3,376,247.11,0.001479
5.4,3,376,213.79,0.005489
5.3,3,376,213.9,0.001611
4.8,1,376,127.22,0.007724
6.3,3,376,253.39,0.005799
6.1,2,376,259.61,0.004607
5.4,2,376,259.37,0.000481
5.3,2,376,226.45,0.000741
5.2,1,376,226.41,0.000918
5.3,3,376,282.75,0.000252
5.1,1,403,216.03,0.000016
5.2,2,403,190.97,0.000215
5.4,2,403,191.5,0.000278
5.8,3,403,123.12,0.001063
5.4,3,403,223.49,0.0001
5.3,3,403,226.35,0.000027
4.8,1,403,20,0.031467
4.9,1,403,103.872766,0.000281
5.4,2,403,220.21,0.000042
5.3,2,403,222.86,0.000013
5,1,403,222.32,0.000008
6.1,1,403,284.73,0.00051
5.4,3,403,286.48,0.000016
5.3,1,403,297.47,0.000041
5.1,1,403,281.74,0.000014
5.3,2,403,219.2,0.000034
5.2,1,403,219.09,0.000039
5.3,1,403,216.69,0.000074
5.8,1,320,245.28,0.015391
4.8,1,320,171.29,0.006841
5.4,2,320,113.48,0.084136
4.9,2,320,119.45,0.004385
5.3,2,320,113.96,0.018296
6,1,320,288.44,0.009333
5.2,2,320,218.8,0.002181
5.3,1,320,245.41,0.002682
5.1,1,320,290.85,0.000542
5.1,2,320,245.35,0.000248
5.3,1,320,76.87,0.2362
6.5,1,320,278.95,0.027408
5.1,1,320,281.58,0.000376
5.9,2,755,35.2,7.009
6.4,2,755,28.4,4.2837
5.6,2,755,26.7,0.25266
5.6,2,755,15.4,1.3146
4.8,1,306,249.15,0.000377
5.4,2,306,112.02,0.011462
4.9,2,306,110.76,0.002054
5.3,2,306,115.24,0.00328
5,1,306,69.93,0.018511
5.4,3,306,88.39,0.064804
6,1,306,88.04,0.76358
5.2,2,306,244.17,0.000815
5.3,1,306,63.48,0.98889
5.1,1,306,97.9,0.047854
5.3,2,306,173.78,0.004963
5.2,1,306,174.92,0.003462
5.3,1,306,172.36,0.002535
6.5,1,306,76.71,3.5919
5.1,1,306,80,0.066551
6.4,1,91,26.6,14.8264
4.8,1,439,119.95,0.000714
4.9,1,439,15.84376,0.034592
5.4,2,439,220.14,0.000067
5.3,2,439,226.54,0.000017
5.3,1,439,235.88,0.000115
5.1,1,439,182.55,0.000051
5.3,2,439,251.33,0.000037
5.2,1,439,252.84,0.000047
5.3,1,439,249.74,0.000044
5.1,1,439,224.53,0.000015
5,1,439,213.43,0.000014
5.2,2,535,246.62,0.000159
5.3,2,535,243.32,0.000098
5.4,2,535,173.56,0.002758
5.3,2,535,174.09,0.000608
6.1,1,535,161.96,0.037424
5.4,3,535,181.07,0.001168
6,1,535,172.89,0.008616
5.3,1,535,92.62,0.007917
5.1,1,535,197.76,0.000554
5.3,2,535,226.82,0.001273
5.2,1,535,227.69,0.000481
5.3,1,535,226.01,0.000145
6.5,1,535,132.18,0.054511
5.1,1,535,133.12,0.002353
5,1,535,110.43,0.001288
5.2,2,435,281.95,0.000055
5.3,2,435,272.64,0.000016
5.2,1,435,273.08,0.000042
5.1,2,435,30.98,0.18158
5.3,1,435,276.67,0.000065
5.2,2,420,175.46,0.000456
5.3,2,420,170.78,0.000322
5.4,2,420,219.84,0.000242
5.3,2,420,218.57,0.000059
6.9,1,420,272.05,0.032624
5.2,2,420,135.67,0.000453
5.3,1,420,204.33,0.001338
5.3,2,420,246.14,0.000207
5.2,1,420,246.74,0.000175
5.3,1,420,246.51,0.000063
6.5,1,420,252.45,0.007834
5.6,1,381,18.6,2.3804
5.3,2,381,9.5,5.2383
5.6,2,381,33.9,0.033487
6.4,1,381,32.8,6.5773
5.5,2,381,6.89,5.1901
5.4,2,381,11.06,6.0698
5.3,3,464,276.86,0.000021
4.8,1,464,218.69,0.000021
6.1,2,464,292.29,0.000101
5,3,464,285.69,0.000002
5.3,2,464,238.97,0.000027
5.2,1,464,238.98,0.000051
6.1,3,464,231.61,0.001801
5.5,1,464,244.01,0.00011
5.3,1,464,240.13,0.000164
5.4,2,464,255.74,0.000082
5.2,2,410,95.07,0.00741
5.3,2,410,90.21,0.00893
5.4,2,410,252.96,0.000062
5.3,2,410,252.47,0.000034
6.9,1,410,163.72,0.46074
5.2,2,410,104.7,0.001909
5.3,1,410,297.39,0.000341
5.3,2,410,248.97,0.000152
5.2,1,410,249.16,0.000157
5.3,1,410,250.1,0.000079
5,3,409,222.75,0.000196
5.3,2,409,283.94,0.00003
5.8,3,409,148.02,0.003902
4.8,1,409,148.39,0.005362
5.4,2,409,92.46,0.01598
4.9,2,409,95.93,0.001804
5,1,409,147.04,0.000629
5.4,3,409,201.85,0.000738
6,1,409,204.38,0.015313
5.2,2,409,242.57,0.0001
5.3,1,409,179.96,0.003257
5.1,1,409,203.4,0.00095
5.3,2,409,111.88,0.007233
5.2,1,409,113.38,0.006898
6.5,1,409,197.51,0.046286
5.1,1,409,204.43,0.000561
4.4,2,464,59.7,0.008418
5.2,2,529,242.16,0.000057
5.4,2,529,240.75,0.000062
5.2,2,529,240.03,0.000077
5.3,2,529,242.1,0.000025
5.8,3,529,228.29,0.000235
5.8,1,529,241.57,0.001577
4.8,1,529,174.47,0.000291
4.9,1,529,206.297833,0.000117
5.3,2,529,114.61,0.002483
5,1,529,239.81,0.000023
5.4,3,529,289.86,0.000066
6,1,529,283.2,0.001866
6.9,1,529,283.2,0.014759
5.2,2,529,216.87,0.000208
5.3,1,529,247.2,0.000401
5.1,1,529,293.84,0.000051
5.3,2,529,76.41,0.025005
5.2,1,529,76.35,0.023421
5.3,1,529,75.75,0.072781
6.5,1,529,281.56,0.006651
5.1,1,529,283.9,0.000045
5,1,529,290.06,0.000016
5.1,1,418,152.26,0.000692
5.8,3,418,136.55,0.0028
4.8,1,418,118.58,0.023361
4.9,1,418,115.633996,0.001966
5.3,2,418,123.91,0.000426
5,1,418,162.32,0.000204
6.1,1,418,221.17,0.005756
5.4,3,418,221.26,0.00026
5.3,1,418,208.14,0.000557
5.1,1,418,221.09,0.000366
5.3,2,418,130.84,0.002745
5.2,1,418,131.57,0.00204
5.3,1,418,128.37,0.003931
6.5,1,418,219.87,0.013759
5.1,1,418,228.7,0.000101
5.8,3,381,126.99,0.023468
5.4,3,381,204.93,0.001425
4.8,1,381,2.78,0.75585
4.9,1,381,110.673589,0.004754
5.4,2,381,239.74,0.000416
4.9,2,381,243.52,0.000039
5.1,1,381,294.79,0.000092
5.3,2,381,238,0.000426
5.2,1,381,237.9,0.000238
5.3,1,381,235.57,0.000553
5.2,2,485,7.33,4.2936
5.2,2,485,193.4,0.000413
5.4,2,485,190.14,0.000308
6.2,1,485,163.21,0.048528
5.4,2,485,174.09,0.001929
5.2,2,514,132.44,0.000324
5.3,2,514,128.28,0.000264
5.8,1,514,233.61,0.00083
6.9,1,514,167.56,0.055916
5.2,2,514,158.11,0.000124
5.2,2,472,115.18,0.002023
5.3,2,472,110.18,0.001757
5.8,1,472,249.5,0.000922
6.9,1,472,203.54,0.11174
5.2,2,472,94.47,0.002253
5.3,1,472,250.19,0.000215
5.3,2,472,232.51,0.000078
5.2,1,472,232.88,0.000084
6.8,1,589,56.5,3.795
5.1,1,589,19.1,5.1743
5.1,2,464,6.7,1.4439
5,1,384,10.5,0.80382
5.2,1,384,19.8,1.2522
4.6,1,384,20.4,2.0031
5.3,1,384,33,1.8965
5.6,1,384,5.6,21.1739
4.6,1,384,5.7,0.66718
6.4,2,384,14.8,4.6031
6.4,1,384,14.7,33.3156
5.3,1,378,33.3,1.4733
5.6,1,378,4.9,26.9367
4.6,1,378,5.8,0.19708
6.4,2,378,14,21.0054
6.4,1,378,15.1,25.492
6.4,2,322,14.1,3.2747
5.6,2,322,44.6,0.23937
6.4,1,322,16.1,15.6931
4.8,1,350,221,0.000983
4.9,1,350,157.177366,0.003017
5.4,2,350,92.1,0.024517
4.9,2,350,92.4,0.003758
5.3,2,350,96.64,0.005403
5,1,350,79.33,0.021417
6.1,1,350,110.78,0.46174
5.4,3,350,115.74,0.022721
6,1,350,116.76,0.37513
5.2,2,350,237.5,0.000221
5.3,1,350,91.37,0.0549
5.1,1,350,122.3,0.01435
5.2,1,350,151.52,0.00395
5.3,1,350,148.96,0.003371
6.5,1,350,107.39,0.97234
5.1,1,350,112.12,0.009882
5.4,2,423,85.13,0.008665
5.3,2,423,89.47,0.002308
5.4,3,423,119.88,0.005001
6,1,423,120.43,0.085034
5.3,1,423,88.62,0.020755
5.1,1,423,127.5,0.004415
5.3,2,423,144.28,0.001158
5.2,1,423,145.51,0.001029
6.5,1,423,110.06,0.28071
5.1,1,423,113.11,0.004858
5,2,150,45.5,0.17534
6,3,150,68.8,0.48004
5,1,150,10.5,0.60306
5.2,1,150,19.8,0.98423
4.6,1,150,20.4,1.7464
5.3,1,150,33,1.366
5.6,1,150,5.7,15.0272
4.6,1,150,5.7,0.27548
5.3,2,150,22.9,0.29408
6.4,2,150,14.9,4.3617
4.5,2,197,33,0.081055
4.7,1,197,1.1,0.72891
5.5,3,197,92.2,0.061578
5.5,3,197,90.3,0.061484
5.7,3,197,88.9,0.10911
6.4,1,197,14,49.9089
4.5,1,197,27.1,0.053321
4.1,1,197,30.2,0.060146
5.5,2,197,23.63,0.24303
5.4,2,197,27.11,0.31222
5,1,475,224.32,0.000238
5.3,2,475,148.14,0.003673
5.3,1,475,146.82,0.003627
6.5,1,475,107.48,0.8452
5.1,1,475,111.32,0.010038
5,1,475,120,0.006058
5,1,475,115.66,0.004728
5.1,1,197,110.2,0.009709
5,1,197,113.72,0.006111
5.8,1,346,239.08,0.00195
4.8,1,346,178.06,0.000346
5.4,2,346,110.44,0.006973
4.9,2,346,116.47,0.000251
5.3,2,346,110.73,0.001804
6,1,346,289.36,0.001326
5.2,2,346,212.47,0.000152
