MomentMag,Mech,VS30,RjbWork,Ia
5.3,1,382,32.5,0.37799
6,3,382,22.8,11.1985
4.9,1,382,11.7,0.26374
5.3,1,382,29.1,0.016313
4.7,1,382,6.8,0.47428
5.1,3,382,11.2,0.87171
5.1,3,382,9.8,1.137
5.4,3,382,14.5,5.899
4.6,1,382,15,0.18783
4.8,2,382,21,1.8973
6.6,3,382,53.7,1.2675
6.4,1,382,20.3,76.5706
6.2,1,529,276.12,0.000382
5.4,3,529,273.99,0.00006
6.3,3,529,271.55,0.000224
6.1,2,529,268.3,0.000107
5.3,2,529,292.87,0.000019
5.2,1,529,292.88,0.000039
6.4,2,457,34.9,26.4114
4.7,2,457,19.9,0.37544
5.5,2,457,36.19,0.74436
5.4,2,457,32.25,0.65377
4.7,2,553,11.5,10.9078
6.2,1,553,54.2,1.8702
5.4,3,553,46.3,0.52116
4.5,2,553,3.1,0.46889
6.4,1,553,85.9,0.59269
5.4,2,362,236,0.000671
5.4,3,362,291.8,0.000623
5.2,2,362,167.12,0.000561
5.3,1,362,200.38,0.00332
5.3,2,362,268.71,0.001004
5.2,1,362,269.38,0.000429
5.3,1,362,268.93,0.000187
6.5,1,362,243.24,0.047296
5.1,1,362,243.86,0.001257
5.4,2,529,235.55,0.00009
5.2,2,529,156.54,0.001951
5.4,2,529,158.39,0.003723
5.8,3,529,173.32,0.00135
5.4,3,529,131.44,0.002202
5.3,3,529,134.81,0.000742
4.8,1,529,73.66,0.007144
4.9,1,529,165.657927,0.00048
6.3,3,529,213.87,0.001686
6.1,2,529,226.98,0.001138
5.3,3,529,242.8,0.000073
4.2,1,494,12.4,0.69013
4.3,1,494,16.2,1.0054
5.1,1,348,52.14,0.053633
5,3,348,129.54,0.004477
5.8,3,348,96.11,0.028059
4.8,1,348,175.18,0.001376
5.4,2,348,143.83,0.003542
4.9,2,348,146.21,0.000474
5.3,2,348,149.72,0.000957
5,1,348,60.19,0.048581
6.1,1,348,122.99,0.17742
5.4,3,348,123.12,0.006526
6,1,348,124.66,0.15205
5.2,2,348,297.49,0.000081
5.3,1,348,145.3,0.009265
5.1,1,348,120.28,0.005919
5.3,2,348,190.28,0.001622
5.2,1,348,191.74,0.001903
5.3,1,348,189.34,0.001736
6.5,1,348,130.12,0.3631
5.1,1,348,143.3,0.002432
5.4,1,473,10,0.69314
6.8,3,529,66,3.4244
5.8,3,429,64.8,0.057008
4.8,1,429,57.31,0.018807
5.4,2,429,221.95,0.000117
5,1,429,179.56,0.00006
6,1,429,238,0.001585
5.3,1,429,271.14,0.000121
5.1,1,429,236.94,0.000055
5.2,1,429,237.91,0.000076
5.3,1,429,234.8,0.000138
6.5,1,429,255.22,0.004384
5.1,1,429,270.49,0.000018
7,3,442,11,29.8039
5.4,2,442,10.9,2.6413
6.2,1,442,17.9,33.4319
5.7,1,442,30.7,0.84022
5.3,3,442,17.7,2.1535
5.3,1,442,22.8,1.6141
6,3,442,48.3,0.39862
5.6,3,442,16.1,13.1592
5,1,442,16.4,1.085
6.2,1,442,71.7,4.6489
4.3,2,442,22.5,0.26599
4.9,2,442,12.5,0.94342
4.2,2,442,15.6,0.25607
5.5,3,442,69.8,0.83789
5.7,3,442,62.6,1.4088
5.4,3,442,65,0.37878
5.7,1,442,25.2,11.6326
4,2,442,22.9,0.2841
6.4,1,442,87.8,1.301
5.4,2,507,196.54,0.000663
4.9,2,507,195.12,0.000133
5,1,507,56.92,0.018632
6.1,1,507,7.58,156.6717
5.4,3,507,7.24,7.3359
6,1,507,11.34,53.0255
5.3,1,507,96.11,0.025823
5.1,1,507,13.85,11.0365
5.2,1,507,259.36,0.000179
5.3,1,507,256.8,0.000135
6.5,1,507,31.62,8.9848
5.1,1,507,49.97,0.056455
4.8,1,626,11.9,0.36416
4.7,1,626,14.3,0.17684
4.8,3,626,13.5,0.3491
4.4,1,626,21.4,0.13664
5.5,3,626,70.2,0.17796
5.5,3,626,70.2,0.61852
5.5,3,626,72.1,0.11082
5.7,3,626,63.1,1.5099
5.4,3,626,65.5,0.51772
4.3,1,626,20.8,0.02917
4.5,2,626,7.6,0.45439
4.3,1,626,16.6,0.12081
6.4,1,626,88.5,1.147
6,1,626,10.66,137.8033
5.1,1,626,13.12,3.7314
5.3,2,626,258.99,0.000156
5.2,1,626,260.15,0.000099
5.3,1,626,257.59,0.000075
6.5,1,626,31.9,6.1203
5.1,1,626,50.21,0.03464
5,1,626,74.62,0.005596
5,1,626,31.04,0.74583
5.1,1,320,71.26,0.023927
5.2,2,320,280.51,0.000176
5.8,3,320,173.06,0.003183
4.8,1,320,230.06,0.000452
5.4,2,320,85.88,0.021141
5.4,3,401,110.9,0.034702
5.3,3,401,109.2,0.018742
4.8,1,401,250.67,0.000235
6.1,2,401,74.94,0.079661
5.2,1,401,121.29,0.000442
5,3,401,107.62,0.000773
5.3,3,401,98.23,0.005939
6.1,3,401,117.56,0.33592
5.5,1,401,130.92,0.008241
5.2,2,400,260.83,0.000089
5.3,1,400,198.3,0.00235
5.1,1,400,213.14,0.000717
5.3,2,400,126.49,0.003826
5.2,1,400,127.65,0.005453
5.3,1,400,124.28,0.007724
6.5,1,400,210.95,0.044647
5.1,1,400,219.41,0.000366
6,3,344,24.8,0.54939
4.5,2,344,6.9,0.26503
4.1,1,344,23.2,0.43021
5.4,2,423,152.07,0.000218
4.9,2,423,149.88,0.000029
5,1,423,144.5,0.000061
5.4,3,423,111.14,0.001622
6,1,423,103.36,0.009454
5.2,2,423,224.37,0.000013
5.3,1,423,26.33,0.035626
5.1,1,423,127.78,0.000634
5.2,1,423,215.37,0.000029
5.3,1,423,213.15,0.000013
6.5,1,423,63.06,0.052367
5.1,1,423,64.15,0.003205
5.1,1,308,136.18,0.001159
5.4,2,308,153.65,0.001052
5.3,2,308,155.22,0.000405
5,1,308,145.57,0.000708
6.1,1,308,92.45,0.22546
5.4,3,308,111.53,0.017551
6,1,308,103.67,0.068497
5.3,1,308,27.9,0.21815
5.1,1,308,128.19,0.00692
5.3,2,308,216.29,0.000258
5.2,1,308,216.9,0.000126
5.3,1,308,214.68,0.000069
6.5,1,308,63.26,0.34946
5.1,1,308,64.35,0.018159
5,1,308,44.44,0.023109
5,1,308,87.11,0.003968
4.8,1,461,281.44,0.000029
5.4,2,461,137.17,0.001152
4.9,2,461,134.75,0.000227
5.3,2,461,139.22,0.000275
5,1,461,77.7,0.002303
6.1,1,461,53.23,0.71435
5.4,3,461,66.4,0.026502
6,1,461,63.03,0.37321
