MM,Me,ln(Vs30),ln(RJB),ln(pgv_rot50)
4.8,2,6.182085,2.884801,0.54731183
5.0,2,6.182085,3.005683,-0.51862261
5.6,2,6.182085,2.975530,0.20815173
4.6,2,6.182085,3.306887,-0.90968758
4.5,2,6.182085,2.912351,-0.32957408
4.4,2,6.182085,3.210844,0.58042631
4.7,1,6.182085,3.407842,-0.59440653
4.9,2,6.182085,2.484907,0.79966702
4.5,2,6.182085,0.336472,-0.33160610
4.3,2,6.182085,2.844909,-1.43914677
4.6,1,6.182085,3.030134,-0.68090245
4.5,1,6.182085,3.068053,-0.82311920
6.4,1,6.182085,3.775057,1.42753227
5.5,2,6.182085,2.939162,-0.27894700
5.4,2,6.182085,2.913980,-0.52837878
5.4,2,6.327937,4.143928,-1.41370667
4.9,2,6.327937,4.197352,-2.57774588
5.3,2,6.327937,4.239599,-2.24309052
5.0,1,6.327937,4.796121,-2.47344459
5.4,3,6.327937,5.109152,-2.82181258
6.0,1,6.327937,5.117215,-0.84276150
5.2,2,6.327937,5.388249,-3.98470123
5.3,1,6.327937,4.886809,-1.94211735
5.1,1,6.327937,5.139908,-2.90472224
5.3,2,6.327937,4.688868,-1.78988123
5.2,1,6.327937,4.701752,-2.10882916
5.3,1,6.327937,4.679071,-2.01335422
6.5,1,6.327937,5.059298,-0.27458159
5.1,1,6.327937,5.081529,-2.68873299
5.0,2,6.035481,2.884801,-0.25967788
5.2,2,6.035481,1.960095,1.62432652
5.3,1,5.945421,5.513106,-4.15715657
5.2,2,5.945421,4.690889,-1.88019732
5.3,2,5.945421,4.708809,-2.65499771
5.8,1,5.945421,5.013232,-1.02750166
5.3,2,5.945421,4.676933,-2.00262866
6.9,1,5.945421,5.125808,0.31743503
5.2,2,5.945421,4.524611,-1.16068984
5.3,2,5.945421,4.173310,-1.60037907
5.3,2,5.945421,4.173310,-1.42378857
5.1,2,5.945421,5.328701,-3.18358108
5.3,1,5.945421,4.225957,-1.51736022
6.5,1,5.945421,5.670088,-1.77183920
5.1,1,5.945421,5.666219,-4.27687414
5.3,1,6.214608,3.901973,-4.58752675
5.2,2,6.214608,5.427414,-2.62525897
5.1,2,6.214608,5.376666,-3.18706228
5.3,1,5.968708,4.069027,-0.90219061
5.1,1,5.968708,5.029653,-2.56815349
5.2,2,5.968708,5.142365,-2.44688281
5.3,2,5.968708,5.147785,-2.98798238
5.0,1,5.968708,5.123845,-2.08626477
5.8,1,5.968708,4.884618,0.06053050
6.9,1,5.968708,3.935935,1.74179862
5.2,2,5.968708,5.438775,-2.46598676
5.1,2,5.968708,5.380220,-2.98092248
4.7,3,5.945421,3.591818,0.14660802
4.8,2,5.945421,3.994524,0.33074156
5.3,1,5.945421,3.481240,-0.22478239
6.0,3,5.945421,3.126761,1.90103232
4.9,1,5.945421,2.459589,-0.04941086
5.3,1,5.945421,3.370738,-1.97091006
4.7,1,5.945421,1.916923,0.64116944
5.1,3,5.945421,2.415914,0.47250051
5.1,3,5.945421,2.282382,0.51724498
4.6,1,5.945421,2.708050,0.07064484
4.8,2,5.945421,3.044522,0.70670486
6.6,3,5.945421,3.983413,0.49548861
6.4,1,5.945421,3.010621,2.82334125
4.5,1,5.945421,0.405465,-0.40234498
6.2,1,6.270988,5.620836,-2.76504922
5.4,3,6.270988,5.613092,-4.37025618
6.3,3,6.270988,5.604146,-2.71688915
6.1,2,6.270988,5.592106,-3.42860969
5.3,2,6.270988,5.679729,-4.04566869
5.2,1,6.270988,5.679763,-3.89457609
6.4,2,6.124683,3.552487,2.04954918
4.7,2,6.124683,2.990720,0.15134675
5.5,2,6.124683,3.588783,0.14833379
5.4,2,6.124683,3.473518,0.10417982
4.7,2,6.315358,2.442347,1.67113490
6.2,1,6.315358,3.992681,0.03498097
5.4,3,6.315358,3.835142,-0.55196017
4.5,2,6.315358,1.131402,-0.18914075
6.4,1,6.315358,4.453184,-0.37067245
5.4,2,5.891644,5.463832,-2.38329636
5.4,3,5.891644,5.676069,-2.73278356
5.2,2,5.891644,5.118712,-2.78723952
5.3,1,5.891644,5.300216,-2.01657942
5.3,2,5.891644,5.593633,-2.59347230
5.2,1,5.891644,5.596123,-3.14597394
5.3,1,5.891644,5.594451,-3.45986517
6.5,1,5.891644,5.494049,-0.45111122
5.1,1,5.891644,5.496594,-2.51493708
5.4,2,6.270988,5.461923,-3.60292197
5.2,2,6.270988,5.053312,-2.59808431
5.4,2,6.270988,5.065060,-2.28023669
5.8,3,6.270988,5.155140,-2.69619080
5.4,3,6.270988,4.878550,-2.74073353
5.3,3,6.270988,4.903866,-3.23490359
4.8,1,6.270988,4.299460,-2.22155825
6.3,3,6.270988,5.365368,-2.18355839
6.1,2,6.270988,5.424862,-2.47885699
5.3,3,6.270988,5.492238,-4.25050726
4.2,1,6.202536,2.517696,-0.08411014
4.3,1,6.202536,2.785011,0.36004924
5.1,1,5.852202,3.953932,-1.08503488
5.0,3,5.852202,4.863990,-2.23614214
5.8,3,5.852202,4.565493,-1.74371244
4.8,1,5.852202,5.165814,-3.05956704
5.4,2,5.852202,4.968632,-1.87790577
4.9,2,5.852202,4.985044,-3.19635630
5.3,2,5.852202,5.008767,-2.64157450
5.0,1,5.852202,4.097506,-1.32742186
6.1,1,5.852202,4.812103,-0.37160006
5.4,3,5.852202,4.813159,-2.18916713
6.0,1,5.852202,4.825590,-0.05124066
5.2,2,5.852202,5.695381,-3.83247273
5.3,1,5.852202,4.978801,-1.76661818
5.1,1,5.852202,4.789822,-2.32928848
5.3,2,5.852202,5.248497,-2.25828117
5.2,1,5.852202,5.256140,-2.30660315
5.3,1,5.852202,5.243544,-2.26828029
6.5,1,5.852202,4.868457,0.68001128
5.1,1,5.852202,4.964940,-2.68966034
5.4,1,6.159095,2.302585,0.56786736
6.8,3,6.270988,4.189655,0.92092000
5.8,3,6.061457,4.171306,-1.14655331
4.8,1,6.061457,4.048475,-1.72322270
5.4,2,6.061457,5.402452,-3.21274466
5.0,1,6.061457,5.190509,-4.34959817
6.0,1,6.061457,5.472271,-1.82896302
5.3,1,6.061457,5.602635,-3.77326156
5.1,1,6.061457,5.467807,-4.53173387
5.2,1,6.061457,5.471892,-3.70383067
5.3,1,6.061457,5.458734,-3.75339664
6.5,1,6.061457,5.542126,-1.27575528
5.1,1,6.061457,5.600235,-4.54756187
7.0,3,6.091310,2.397895,2.01866925
5.4,2,6.091310,2.388763,1.27993335
6.2,1,6.091310,2.884801,2.03215337
5.7,1,6.091310,3.424263,0.54400892
5.3,3,6.091310,2.873565,0.48279645
5.3,1,6.091310,3.126761,0.27952388
6.0,3,6.091310,3.877432,-0.31937916
5.6,3,6.091310,2.778819,1.97859858
5.0,1,6.091310,2.797281,0.63911329
6.2,1,6.091310,4.272491,1.13722384
4.3,2,6.091310,3.113515,-0.87714214
4.9,2,6.091310,2.525729,0.11867153
4.2,2,6.091310,2.747271,-0.67412917
5.5,3,6.091310,4.245634,0.36810932
5.7,3,6.091310,4.136765,0.72696873
5.4,3,6.091310,4.174387,-0.20552468
5.7,1,6.091310,3.226844,1.78169230
4.0,2,6.091310,3.131137,-0.57229331
