MM,Me,ln(Vs30),ln(RJB),ln(pgv_rot50)
5.1,1,6.297109,5.138501,-3.43482656
5.1,1,5.497168,5.402272,-4.03588699
5.2,2,5.497168,5.010235,-1.85956733
5.3,2,5.497168,4.993557,-2.06451352
5.8,1,5.497168,5.581878,-2.38746783
5.4,2,5.497168,4.695559,-1.88453287
5.3,2,5.497168,4.683519,-2.63522269
6.1,1,5.497168,5.375788,-0.69550997
5.4,3,5.497168,5.445487,-2.50598729
5.2,2,5.497168,4.515574,-1.88262554
5.3,1,5.497168,4.901787,-0.98598921
5.1,1,5.497168,5.509064,-3.25439938
6.5,1,5.497168,5.254836,-0.31947550
5.1,1,5.497168,5.254209,-2.29511308
5.4,3,6.025866,4.403176,-0.77177922
5.3,3,6.025866,4.381902,-1.25403878
4.8,1,6.025866,5.464594,-4.15760390
6.1,2,6.025866,4.192529,-0.27964777
5.2,1,6.025866,4.841111,-3.07946177
5.0,3,6.025866,4.847175,-3.38445827
5.3,3,6.025866,4.495579,-1.61078882
6.1,3,6.025866,4.983675,0.14997053
5.5,1,6.025866,5.068841,-2.08128324
5.4,2,6.025866,5.050881,-1.83690329
4.4,2,5.476464,3.725693,-2.06593319
4.3,2,5.476464,2.140066,0.89367696
4.4,2,5.476464,3.054001,-0.16311911
4.8,1,5.476464,4.870607,-2.37150654
4.1,1,5.476464,3.775057,-2.42791025
4.2,2,5.476464,4.476200,-2.63314683
5.3,1,5.476464,5.357529,-2.81969710
5.3,2,5.476464,4.420045,-0.91451731
4.5,2,5.476464,4.410371,-2.41252273
4.8,2,5.476464,4.420045,-1.63414053
4.7,2,6.137727,1.856298,0.33275104
5.2,2,6.137727,2.694627,0.49707147
5.3,2,6.192362,5.380727,-3.54963939
5.3,2,6.192362,5.222893,-3.39162336
6.1,1,6.192362,5.312220,-0.88692612
5.4,3,6.192362,5.401370,-3.31014169
6.0,1,6.192362,5.365181,-1.61701656
5.2,2,6.192362,5.119609,-3.90162723
5.3,1,6.192362,4.868227,-2.57008553
5.1,1,6.192362,5.473950,-3.48059780
5.3,2,6.192362,5.440685,-3.15393114
5.2,1,6.192362,5.444148,-3.69304813
5.3,1,6.192362,5.439513,-4.14749221
6.5,1,6.192362,5.154043,-0.28511204
5.1,1,6.192362,5.158710,-2.60076204
6.4,3,6.378426,3.779634,0.24380855
5.8,3,6.008813,4.400112,-0.74431417
4.8,1,6.008813,3.855664,-0.75067037
5.4,2,6.008813,5.348583,-2.93054396
4.9,2,6.008813,5.365088,-4.20666256
5.3,2,6.008813,5.366350,-3.68222167
5.0,1,6.008813,5.216999,-3.85725077
6.0,1,6.008813,5.498602,-1.34996243
5.3,1,6.008813,5.594191,-3.24107031
5.1,1,6.008813,5.492485,-3.85455631
5.3,2,6.008813,5.402272,-3.15135737
5.2,1,6.008813,5.403308,-3.06780847
5.3,1,6.008813,5.389802,-2.71519567
6.5,1,6.008813,5.552223,-0.78879942
5.1,1,6.008813,5.606794,-4.05768482
5.3,2,6.270988,5.379897,-4.46176272
5.4,2,6.270988,4.659185,-2.02056904
5.2,2,6.270988,5.060948,-2.29045891
5.4,2,6.270988,5.072232,-1.57561636
5.3,3,6.270988,-1.897120,1.34299534
4.8,1,6.270988,5.333298,-4.19200149
6.3,3,6.270988,4.481193,-0.67597546
6.1,2,6.270988,4.641020,-0.84264537
5.0,3,6.270988,5.295062,-4.05422041
5.3,3,6.270988,4.731891,-2.03768558
6.1,3,6.270988,5.432586,-1.23450074
5.5,1,6.270988,5.486497,-3.59998984
5.4,2,6.270988,5.469072,-3.33614025
4.5,2,5.897154,4.781641,-4.09684769
4.8,2,5.897154,4.906015,-2.99503252
5.3,3,5.897154,4.644583,-0.51709524
4.8,1,5.897154,5.427941,-2.80499622
6.1,2,5.897154,4.535177,0.40526509
5.2,1,5.897154,4.973556,-1.98238743
6.1,3,5.897154,4.882650,1.36851219
5.5,1,5.897154,4.984565,-1.11596193
5.4,2,5.897154,4.986752,-0.25644184
4.3,2,6.040255,3.095578,-1.09667417
5.4,3,6.040255,4.689695,-1.09754286
5.3,3,6.040255,4.680185,-1.50000072
6.1,2,6.040255,4.558498,-1.00917386
5.0,3,6.040255,4.860897,-2.92859713
5.3,3,6.040255,4.778283,-2.18320334
6.1,3,6.040255,4.860587,0.16466662
5.5,1,6.040255,4.965289,-1.70627926
5.4,2,6.040255,4.969605,-1.61767172
5.4,2,5.583496,4.721263,-1.27833722
5.2,2,5.583496,4.361824,-0.43506901
5.4,2,5.583496,4.369701,-0.04262570
5.4,3,5.583496,4.664194,-0.36783701
5.3,3,5.583496,4.654532,-0.64496673
6.1,2,5.583496,4.549129,0.19425013
5.2,1,5.583496,4.980588,-2.42246157
5.0,3,5.583496,4.873058,-2.13360210
5.3,3,5.583496,4.771278,-1.50035932
6.1,3,5.583496,4.880299,1.16421275
5.5,1,5.583496,4.982784,-1.17840253
5.4,2,5.583496,4.986001,-0.72232885
5.4,3,5.899897,4.632104,-0.75451208
5.3,3,5.899897,4.622617,-1.05105145
4.8,1,5.899897,5.413653,-3.15526742
6.3,3,5.899897,4.517977,0.29207242
6.1,2,5.899897,4.547011,-0.05985617
5.0,3,5.899897,4.894251,-2.09565223
5.3,3,5.899897,4.770091,-1.46689723
6.8,1,5.894403,4.216562,1.05358005
5.1,1,5.894403,2.332144,1.99185273
5.3,2,5.894403,3.421000,0.19152904
5.3,3,6.120297,2.965273,0.45247591
5.0,1,6.270988,5.623151,-4.89078772
5.2,2,6.270988,4.864607,-2.41384073
5.9,2,6.270988,5.666600,-2.29700071
5.2,2,6.270988,5.311678,-3.15526742
5.2,2,6.270988,5.683954,-4.34998548
6.2,1,6.270988,5.607859,-1.66892256
5.8,1,6.270988,5.467849,-1.83145710
5.3,2,6.270988,5.607382,-4.02284284
5.2,1,6.270988,5.606868,-3.34296621
5.1,2,6.270988,4.946203,-2.70921588
6.1,3,6.270988,5.560220,-2.43191959
5.5,1,6.270988,5.600531,-3.83979537
5.3,1,6.270988,5.614696,-3.22529639
5.4,2,6.270988,5.649889,-4.14818848
6.0,2,5.849325,4.601162,-0.01184993
5.1,1,5.849325,4.252772,-0.52780225
5.1,1,5.849325,4.016383,-1.06395003
5.2,2,5.849325,3.660994,0.71988648
5.1,2,5.849325,3.992681,-1.23680596
5.0,1,6.082219,4.128424,-3.00134801
5.4,3,6.082219,3.347445,-0.22092102
6.0,1,6.082219,3.265378,0.99687483
5.2,2,6.082219,5.671741,-4.45004855
5.3,1,6.082219,4.218478,-1.72979927
5.1,1,6.082219,3.744078,-0.90948892
5.3,2,6.082219,5.458947,-3.38363255
5.2,1,6.082219,5.463578,-4.27342338
5.3,1,6.082219,5.452754,-4.16138220
6.5,1,6.082219,2.876386,1.67747032
5.1,1,6.082219,3.464172,-1.69379826
4.8,1,5.720312,5.391899,-3.38818244
5.4,2,5.720312,3.452524,0.71437037
4.9,2,5.720312,3.533395,0.11341797
5.3,2,5.720312,3.624608,-0.53925939
5.3,1,5.720312,4.451553,0.04210118
5.8,3,6.287859,3.952589,-1.50458252
4.8,1,6.287859,4.793142,-3.27987395
5.4,2,6.287859,5.170314,-2.99283647
5.3,2,6.287859,5.205599,-3.83118062
5.0,1,6.287859,4.708990,-3.44402138
6.1,1,6.287859,5.160548,-1.93329999
5.4,3,6.287859,5.165643,-3.34966812
5.1,1,6.287859,5.132499,-3.52390754
5.3,2,6.287859,5.336528,-3.67359683
5.2,1,6.287859,5.343769,-3.89021259
5.3,1,6.287859,5.329622,-3.67371502
6.5,1,6.287859,5.225639,-0.68183145
5.1,1,6.287859,5.301113,-3.96463296
5.0,1,6.287859,5.388752,-4.44033394
5.0,1,6.287859,5.263312,-3.84282349
5.4,2,6.230481,5.239310,-2.74301439
4.9,2,6.230481,5.228592,-4.02608796
5.3,2,6.230481,5.244442,-3.68039554
5.4,3,6.230481,5.082956,-2.43205617
6.0,1,6.230481,5.024209,-1.33389168
5.2,2,6.230481,5.391261,-4.21712255
5.3,1,6.230481,4.434619,-2.11146899
5.1,1,6.230481,5.180603,-2.63007578
5.3,2,6.230481,5.504762,-2.87038679
5.2,1,6.230481,5.507970,-3.82607469
5.3,1,6.230481,5.500278,-4.02726552
6.5,1,6.230481,4.721619,-0.27032688
5.1,1,6.230481,4.729598,-1.79492447
5.1,1,5.913503,5.276378,-4.07583689
5.4,2,5.913503,5.251173,-2.94452598
4.9,2,5.913503,5.240635,-4.03204605
5.3,2,5.913503,5.256192,-3.85691948
5.0,1,5.913503,5.320764,-4.63384748
6.1,1,5.913503,4.968563,-0.49120275
5.4,3,5.913503,5.094547,-2.55415384
6.0,1,5.913503,5.035783,-1.49503837
5.3,1,5.913503,5.508781,-4.14212823
6.5,1,5.913503,4.738827,-0.33210777
5.1,1,5.913503,4.746409,-2.04918395
4.3,3,6.139885,2.778819,-1.40348121
4.0,3,6.139885,2.701361,-1.35270486
5.1,1,6.139885,5.260044,-4.44825191
5.0,3,6.139885,5.545919,-4.52009401
5.2,2,6.139885,5.624559,-4.44254126
5.3,2,6.139885,5.612873,-4.13042780
5.4,2,6.139885,5.238090,-2.99495258
5.3,2,6.139885,5.243333,-3.97421761
5.0,1,6.139885,5.305293,-5.08509487
6.1,1,6.139885,4.948831,-0.98173633
5.4,3,6.139885,5.077234,-2.86293365
6.0,1,6.139885,5.018074,-1.60310799
5.2,2,6.139885,5.393309,-4.32913063
5.3,1,6.139885,4.425804,-2.49378192
5.1,1,6.139885,5.175415,-2.97991798
5.3,2,6.139885,5.504355,-3.22331064
5.2,1,6.139885,5.507565,-4.02200530
5.3,1,6.139885,5.499788,-4.21495409
6.5,1,6.139885,4.713397,-0.37622189
5.1,1,6.139885,4.721441,-2.44169775
5.0,1,6.139885,4.481646,-1.91108369
5.0,1,6.139885,4.900002,-3.75037195
5.1,1,5.820083,3.780775,-0.65212041
5.0,3,5.820083,4.981344,-2.58112244
5.8,3,5.820083,5.020718,-1.69996455
4.8,1,5.820083,5.402587,-3.33467957
5.4,2,5.820083,4.719570,-1.54299496
4.9,2,5.820083,4.721886,-2.45557312
5.3,2,5.820083,4.759092,-2.17604055
5.0,1,5.820083,4.083115,-1.07200931
6.1,1,5.820083,4.568299,0.28870655
5.4,3,5.820083,4.597239,-1.33579138
6.0,1,5.820083,4.616407,0.88649110
5.2,2,5.820083,5.545724,-3.42445577
5.3,1,5.820083,4.513165,-0.52166752
5.1,1,5.820083,4.644295,-1.44058161
5.3,2,5.820083,5.135269,-2.08973433
5.2,1,5.820083,5.142774,-2.10636063
5.3,1,5.820083,5.127707,-2.24819161
6.5,1,5.820083,4.542443,1.40383954
5.1,1,5.820083,4.620945,-1.83445822
6.0,2,6.098074,0.262364,3.29620717
5.4,2,6.098074,2.631889,2.84205648
5.2,3,6.098074,3.962716,-0.68317705
6.4,3,6.098074,4.056989,0.95080809
6.6,3,6.098074,4.799091,1.54314853
5.0,2,6.098074,2.541602,1.87879307
4.9,3,6.098074,4.665324,-2.36233510
4.8,3,6.098074,4.642466,-2.41796228
4.9,3,6.098074,4.789157,-2.70903569
4.9,3,6.098074,4.635699,-2.79460532
4.4,3,6.098074,4.550714,-4.15333053
4.6,3,6.098074,4.684905,-3.58556503
4.7,3,6.098074,4.664382,-3.80388635
4.7,3,6.098074,4.504244,-3.16552465
5.0,3,6.098074,4.649187,-2.22784875
4.7,3,6.098074,4.530447,-3.11276059
4.9,3,6.098074,4.621044,-2.22183494
4.7,3,6.098074,4.859812,-3.61827189
5.1,2,6.098074,5.248602,-2.77313287
4.2,2,6.098074,2.140066,-0.92555855
4.2,1,6.098074,4.781641,-3.82008213
5.4,2,6.263398,2.631889,2.97097841
6.4,1,6.263398,4.763882,1.02471455
6.2,1,6.042633,4.369448,0.09403664
5.4,3,6.042633,4.816241,-2.12243255
4.9,3,6.042633,4.774913,-2.83676464
4.8,3,6.042633,4.751865,-2.74760737
4.7,1,6.042633,4.727388,-2.88206436
4.7,3,6.042633,4.706824,-4.07866808
4.4,1,6.042633,4.654912,-3.24176070
4.5,3,6.042633,4.720283,-4.29277111
4.6,3,6.042633,4.418841,-2.88036994
4.7,3,6.042633,4.565389,-2.97789236
4.6,3,6.042633,4.555980,-2.51172712
4.8,1,6.042633,4.583333,-1.75244261
5.4,2,6.042633,5.232712,-1.98704469
4.9,2,6.042633,5.251959,-3.35077997
5.3,2,6.042633,5.261913,-2.95708865
5.0,1,6.042633,4.898138,-2.37049997
5.4,3,6.042633,5.289630,-2.57996046
6.0,1,6.042633,5.269712,-0.21144969
5.3,1,6.042633,5.414944,-1.99745611
5.1,1,6.042633,5.259161,-2.67154953
5.3,2,6.042633,5.360588,-2.35106131
5.2,1,6.042633,5.367610,-2.34367796
5.3,1,6.042633,5.351716,-2.29670243
6.5,1,6.042633,5.342430,-0.13935403
5.1,1,6.042633,5.410172,-3.15016633
4.9,2,5.627621,2.960105,-1.19260434
5.5,2,5.627621,3.206803,-0.30159170
6.8,3,5.627621,4.122284,1.02690144
6.5,0,5.627621,4.249923,0.62615231
6.2,1,5.627621,4.385770,0.01469155
6.4,1,5.627621,4.763882,-0.25028353
4.2,2,5.627621,2.140066,-0.97877802
6.5,2,5.666427,4.368181,0.74517021
5.1,1,5.888878,5.156754,-3.16403259
5.0,3,5.888878,5.580069,-3.15147422
5.3,2,5.888878,5.289630,-2.65606515
5.4,2,5.888878,4.576359,-1.20557409
4.9,2,5.888878,4.557030,-2.38480433
5.3,2,5.888878,4.578826,-1.81812398
5.0,1,5.888878,5.232765,-3.43405121
5.4,3,5.888878,5.188726,-1.70457311
6.0,1,5.888878,5.160089,-0.52953285
5.2,2,5.888878,4.956179,-2.35528991
5.3,1,5.888878,4.407573,-0.34154709
5.1,1,5.888878,5.270689,-2.43870268
5.3,2,5.888878,5.007296,-1.32674326
5.2,1,5.888878,5.013165,-1.84547675
5.3,1,5.888878,5.001393,-2.57823320
6.5,1,5.888878,4.931809,0.52744672
5.1,1,5.888878,4.935049,-1.36782596
5.2,2,6.098074,5.652910,-4.81328967
5.1,1,6.098074,5.665631,-4.55676105
5.2,2,6.098074,5.410842,-4.17683526
5.2,2,6.098074,5.459543,-4.20955341
5.8,3,6.098074,5.646648,-4.21461569
5.8,1,6.098074,5.317924,-2.63448380
4.8,1,6.098074,5.338931,-4.16356603
5.3,2,6.098074,5.090309,-3.61328972
6.9,1,6.098074,5.548765,-1.37531486
5.2,2,6.098074,5.424862,-3.89060404
5.3,2,6.098074,4.682779,-2.48276494
5.2,1,6.098074,4.682964,-1.84118083
5.1,2,6.098074,5.222246,-4.10366789
5.3,1,6.098074,4.696016,-1.10705785
6.5,2,6.188264,3.937691,0.33632937
5.4,2,6.315358,5.447341,-3.44005256
4.9,2,6.315358,5.440034,-5.11314986
5.3,2,6.315358,5.445702,-4.26058807
5.4,3,6.315358,5.564597,-4.02273113
6.0,1,6.315358,5.531015,-2.14464161
5.2,2,6.315358,5.245760,-4.43669404
5.3,1,6.315358,5.162612,-3.07157714
5.1,1,6.315358,5.626361,-4.16556133
5.3,2,6.315358,5.610021,-3.36685393
5.2,1,6.315358,5.612763,-3.83399772
5.3,1,6.315358,5.609911,-4.26563123
6.5,1,6.315358,5.356681,-1.14730896
5.1,1,6.315358,5.360776,-3.85862443
5.0,3,6.270988,5.561566,-4.92052497
5.0,1,6.270988,5.437253,-5.44693339
6.1,1,6.270988,5.043877,-1.42022350
5.4,3,6.270988,5.130668,-2.99136184
6.0,1,6.270988,5.067646,-1.96098318
5.2,2,6.270988,5.690765,-4.63287032
5.3,1,6.270988,4.919032,-3.11735768
5.1,1,6.270988,5.221328,-3.46027882
6.5,1,6.270988,4.867919,-0.77833477
5.1,1,6.270988,4.884921,-2.87413430
5.0,1,6.270988,4.711240,-2.82992974
5.0,1,6.270988,4.990909,-4.31713817
6.5,2,5.910797,4.036009,1.67903860
5.2,2,6.270988,3.843744,0.68702850
4.8,1,5.886104,5.127232,-2.19903622
5.4,2,5.886104,4.263665,-0.64635902
5.3,2,5.886104,4.304470,-1.43729296
5.0,1,5.886104,5.047096,-2.15390650
6.1,1,5.886104,5.306534,-0.16498078
5.4,3,5.886104,5.323936,-2.15537271
6.0,1,5.886104,5.332139,-0.09465140
5.2,2,5.886104,5.391899,-2.41118418
5.3,1,5.886104,5.148308,-1.10231915
5.1,1,5.886104,5.341856,-2.19471772
5.3,2,5.886104,4.498475,-0.48121828
5.2,1,5.886104,4.515027,-0.31682256
5.3,1,5.886104,4.483003,-0.60458700
6.5,1,5.886104,5.288873,0.64343159
5.1,1,5.886104,5.309356,-1.90616073
5.0,1,5.886104,5.344628,-2.25617872
5.0,1,5.886104,5.330688,-2.84313137
5.8,1,5.910797,5.426007,-2.11818237
5.4,2,5.910797,4.734267,-1.45251964
4.9,2,5.910797,4.786491,-3.07944002
5.3,2,5.910797,4.733475,-1.97320941
5.0,1,5.910797,5.517694,-4.64131563
5.2,2,5.910797,5.330300,-2.74706134
5.3,1,5.910797,5.521861,-2.82437056
5.2,1,5.910797,4.230913,-1.85950312
5.1,2,5.910797,5.433635,-3.93728953
5.3,1,5.910797,4.231930,-1.15350151
6.5,1,5.910797,5.662440,-1.04694057
5.1,1,5.910797,5.666496,-3.42922655
6.0,2,6.093570,3.499533,1.24227964
5.8,3,6.077642,5.409501,-2.80709735
5.4,3,6.077642,4.376888,-0.99945497
5.3,3,6.077642,4.414615,-1.95616253
4.8,1,6.077642,4.824868,-2.40714593
6.1,2,6.077642,5.166841,-1.46334821
6.1,3,5.908083,5.212106,-2.22525375
5.5,1,5.908083,5.277502,-3.71161598
5.4,2,5.908083,5.346917,-4.09258611
5.3,2,6.077642,4.599655,-1.45603037
5.8,1,6.077642,5.479513,-2.52474163
5.2,2,6.077642,4.368688,-2.44665179
5.3,1,6.077642,5.478971,-2.93857719
5.3,2,6.077642,5.376065,-3.33366958
5.2,1,6.077642,5.377775,-3.69032049
5.3,1,6.077642,5.379943,-3.90024267
6.5,1,6.077642,5.687314,-1.63562790
5.1,1,6.077642,5.683308,-3.88630653
4.8,1,5.929589,5.228538,-3.15175470
5.4,2,5.929589,4.430579,-1.94260562
4.9,2,5.929589,4.463952,-3.04607865
5.3,2,5.929589,4.500698,-2.83881400
5.0,1,5.929589,4.608764,-2.67462026
5.4,3,5.929589,5.006426,-2.62684817
6.0,1,5.929589,5.020256,-0.64110517
5.2,2,5.929589,5.476631,-4.44288128
5.3,1,5.929589,4.857329,-1.92517658
5.1,1,5.929589,5.028344,-2.68058582
5.3,2,5.929589,4.875655,-2.38427249
5.2,1,5.929589,4.886432,-2.24951837
5.3,1,5.929589,4.867765,-1.95439605
6.5,1,5.929589,4.968910,-0.33297237
5.1,1,5.929589,5.012633,-2.98752604
5.1,1,5.533389,5.282086,-2.23194025
5.3,2,5.533389,5.035783,-1.94743131
5.0,1,5.533389,5.352569,-1.55438171
5.8,1,5.533389,5.070098,0.07788654
5.2,2,5.533389,5.347679,-2.18134139
5.0,1,5.988961,5.236495,-3.46455260
6.0,1,5.988961,5.359883,-0.97058854
5.2,2,5.988961,4.930004,-2.35096684
5.3,1,5.988961,3.970858,-0.98883454
6.5,1,5.988961,5.252954,-0.44436707
5.1,1,5.988961,5.253529,-2.96726144
5.1,1,6.304449,5.466878,-4.65390885
5.4,2,6.304449,5.400332,-3.33252056
5.3,2,6.304449,5.402813,-3.97704164
5.4,3,6.304449,5.305343,-3.11927939
6.0,1,6.304449,5.254574,-1.75215421
5.2,2,6.304449,5.417477,-4.03894770
5.3,1,6.304449,4.849762,-2.75503175
5.1,1,6.304449,5.383990,-3.22318510
5.3,2,6.304449,5.614441,-2.99831561
5.2,1,6.304449,5.617571,-3.93191964
5.3,1,6.304449,5.611740,-4.41570752
6.5,1,6.304449,5.030765,-0.58019357
5.1,1,6.304449,5.038315,-2.78020163
5.3,1,6.003887,4.674976,-1.23202940
5.1,1,6.003887,5.286042,-1.72473654
5.2,2,6.003887,5.032071,-1.62186481
5.3,2,6.003887,5.030176,-2.18373596
5.0,1,6.003887,5.356350,-1.12914366
5.8,1,6.003887,5.068464,0.07714621
6.9,1,6.003887,4.475403,1.74913029
5.2,2,6.003887,5.343482,-2.18293713
5.1,2,6.003887,5.538082,-2.91332314
5.4,2,6.347389,2.449279,2.66186664
5.4,2,6.242223,2.420368,3.13096222
4.8,2,5.869297,2.901422,0.67079932
5.3,2,5.869297,3.113515,0.76178666
6.0,2,5.869297,4.007333,0.56832065
5.8,1,5.808142,5.673151,-1.52748933
4.8,1,5.808142,5.068904,-2.34946708
5.4,2,5.808142,4.400235,-0.86590660
4.9,2,5.808142,4.452369,-2.56359927
5.3,2,5.808142,4.429149,-1.61334554
5.0,1,5.808142,5.149701,-3.31310409
5.4,3,5.808142,5.410663,-2.74639090
6.0,1,5.808142,5.418631,-0.77158451
5.2,2,5.808142,5.409590,-2.98224366
5.3,1,5.808142,5.252954,-2.04337966
5.1,1,5.808142,5.424465,-2.74404014
5.3,2,5.808142,4.471410,-0.85176784
5.2,1,5.808142,4.483906,-0.74488268
5.3,1,5.808142,4.445353,-0.66037026
6.5,1,5.808142,5.380312,-0.34538181
5.1,1,5.808142,5.400648,-3.10216003
6.7,2,5.826000,1.667707,3.21048068
6.4,2,5.826000,2.923162,2.59054213
6.4,1,5.826000,4.780803,0.74169922
4.6,2,6.001415,3.688879,-2.26519297
4.4,2,6.001415,3.806662,-1.34243060
5.2,2,6.001415,3.693867,-0.95054579
5.5,2,6.001415,3.563883,0.60873243
5.1,2,6.001415,3.793239,-0.88522821
5.2,2,6.001415,3.698830,0.18140447
4.6,2,6.001415,3.808882,-2.41139600
4.5,2,6.001415,3.718438,-3.21363956
4.3,2,6.001415,3.706228,-2.90825267
5.4,2,6.001415,4.523960,-1.04708302
5.4,2,6.001415,3.744787,-0.80884988
5.3,2,6.001415,3.923952,-1.04842310
4.6,2,6.001415,3.218876,-0.94695615
5.5,1,6.001415,5.013963,-0.77307823
5.7,1,6.001415,5.012633,-0.80175742
5.1,2,6.001415,5.009968,-1.50936636
5.7,1,6.001415,4.994506,-0.51738039
4.4,2,6.001415,3.178054,-1.08432484
5.2,2,6.001415,4.540098,-0.70087698
5.3,2,6.001415,5.178971,-2.35910254
4.4,2,6.001415,4.473922,-2.26673544
4.6,2,6.001415,4.504244,-1.84326331
4.4,2,6.001415,4.461300,-2.16430251
4.4,2,6.001415,4.138361,-2.93191276
5.5,2,6.177944,3.269569,0.35086812
6.5,2,6.177944,2.322388,2.02403453
5.2,2,6.042633,3.234749,0.03825871
5.1,2,6.042633,3.025291,-0.69617175
5.4,2,6.042633,3.068053,0.04008572
4.8,2,6.042633,2.856470,-1.18309233
5.3,2,6.042633,5.233672,-4.04996411
5.4,2,6.042633,5.256349,-3.08710223
6.0,1,6.042633,5.515523,-2.06506538
5.2,2,6.042633,4.955052,-4.32458826
5.3,1,6.042633,5.080969,-3.31022386
5.1,1,6.042633,5.607125,-4.43745478
5.2,1,6.042633,5.430880,-3.89536256
6.5,1,6.042633,5.337634,-1.29058426
5.1,1,6.042633,5.340083,-3.70135698
4.8,1,6.320768,5.445443,-4.47414192
5.4,2,6.320768,5.273768,-3.06116720
4.9,2,6.320768,5.276838,-4.07825470
5.0,1,6.320768,3.053057,-0.91227381
6.1,1,6.320768,4.228584,0.17024898
5.4,3,6.320768,4.243626,-1.53544423
6.0,1,6.320768,4.129068,0.23972531
5.3,1,6.320768,4.934258,-2.08965351
5.1,1,6.320768,4.099000,-1.00476682
5.2,1,6.320768,5.527721,-3.35848278
5.1,1,6.018593,5.362324,-4.29313702
5.4,2,6.018593,5.548570,-3.45364924
5.3,1,6.018593,4.860510,-2.43975739
5.1,1,6.018593,5.145050,-2.66532123
6.5,1,6.018593,4.770006,-0.26748737
5.1,1,6.018593,4.789240,-1.99642480
5.3,1,5.950643,5.678089,-3.27838700
5.2,2,5.950643,4.864221,-1.98850455
5.9,2,5.950643,5.511976,-1.71518739
6.1,3,5.950643,5.620654,-2.39731344
5.5,1,5.950643,5.662995,-3.60988345
5.4,2,6.165418,3.202746,-1.12840162
5.2,3,6.165418,3.977811,-0.09436563
6.4,3,6.165418,3.532226,1.93536907
6.6,3,6.165418,4.817051,2.06020775
6.8,3,6.165418,3.621671,1.81841763
6.5,0,6.165418,3.701302,1.55730216
6.2,1,6.165418,3.925926,0.49719312
4.7,1,6.165418,4.449685,-2.69318622
4.9,3,6.165418,4.458988,-2.56125220
4.7,3,6.165418,4.423648,-3.53994234
4.4,1,6.165418,4.348987,-2.84734675
4.5,3,6.165418,4.455509,-3.96732432
4.6,3,6.165418,4.010963,-1.95814469
4.7,3,6.165418,4.218036,-2.50032896
4.6,3,6.165418,4.207673,-2.34921559
4.9,3,6.165418,4.352855,-2.07282349
4.8,3,6.165418,4.310799,-2.12644930
4.9,3,6.165418,4.530447,-2.38780535
6.4,2,6.295266,4.308111,0.19499096
4.6,0,6.295266,3.173878,-0.10069364
5.2,2,6.066108,4.840875,-2.44417170
5.2,2,6.066108,5.300864,-2.91415229
5.4,2,6.066108,5.288267,-3.03466023
6.2,1,6.066108,5.187106,-1.31535139
5.4,3,6.066108,5.675383,-2.92970112
6.3,3,6.066108,5.394672,-1.76890269
6.1,2,6.066108,5.353657,-2.17436780
5.3,3,6.066108,5.445184,-3.88635526
6.1,3,6.066108,3.741235,1.75111107
5.5,1,6.066108,3.988243,0.87049807
5.4,2,6.066108,4.167750,-0.76881945
5.2,2,4.919981,5.377221,-3.93023789
6.2,1,4.919981,4.075671,1.38911538
6.1,3,4.919981,5.594116,-2.36066982
5.5,1,4.919981,5.622898,-3.24753253
5.2,2,6.079933,5.190008,-3.82401213
5.4,2,6.079933,5.177110,-3.79931952
6.2,1,6.079933,5.330349,-2.67663875
5.4,3,6.079933,5.575457,-3.61136301
5.3,3,6.079933,5.568268,-4.05059566
6.1,2,6.079933,5.215425,-2.82151010
5.0,3,6.079933,4.659564,-4.05301070
5.3,3,6.079933,5.322034,-4.69517148
6.1,3,6.079933,2.745346,1.09061372
5.5,1,6.079933,3.355153,-0.56331261
5.4,2,6.079933,3.727379,-1.59953709
5.3,1,6.216606,5.129780,-4.13886087
5.1,1,6.216606,5.636288,-4.72947570
5.2,2,6.216606,4.498920,-2.14635087
5.3,2,6.216606,4.469580,-2.40126795
5.0,1,6.216606,5.688195,-4.19631084
5.8,1,6.216606,5.142131,-1.52592431
5.4,2,6.216606,5.652665,-5.07963174
6.9,1,6.216606,4.643333,0.00478852
5.2,2,6.216606,4.908603,-3.27188111
5.3,2,6.216606,5.582556,-4.63856152
5.2,1,6.216606,5.582481,-4.59720202
5.1,2,6.216606,5.615170,-4.94270098
5.3,1,6.216606,5.588110,-5.03643014
5.8,1,6.204558,5.102667,-1.08016352
4.8,1,6.204558,5.542087,-4.09618626
5.4,2,6.204558,4.778955,-1.52541851
4.9,2,6.204558,4.816565,-3.67399084
5.3,2,6.204558,4.755399,-1.89825396
5.2,2,6.204558,5.030438,-2.39714855
5.3,1,6.204558,5.552766,-3.20339625
5.3,2,6.204558,4.013677,-1.18783702
5.2,1,6.204558,4.015842,-0.28110376
5.1,2,6.204558,5.228217,-3.16823024
5.3,1,6.204558,4.073121,-0.48359964
5.2,3,6.463029,2.766319,-0.38840152
6.4,3,6.463029,4.513055,-0.14163269
6.6,3,6.463029,4.328098,1.54679626
5.8,3,6.480045,3.956423,-1.52965678
4.8,1,6.480045,4.968771,-3.33791277
5.0,1,6.480045,4.485598,-3.11008869
6.0,1,6.480045,5.002738,-1.31464369
5.3,1,6.480045,5.239893,-2.97354035
5.1,1,6.480045,4.986821,-3.21155270
5.3,2,6.480045,5.378514,-3.52587664
5.2,1,6.480045,5.385412,-3.42405668
5.3,1,6.480045,5.373935,-3.26499830
6.5,1,6.480045,5.110903,-0.93628938
